approval_id,doc_type,doc_id,approver_id,approval_level,sequence,action,action_date,sla_hours,actual_hours,remarks
APR000001,PR,PR00002,EMP040,1,1,approve,2024-10-06 00:00:00,24,20.16,ok
APR000002,PR,PR00002,EMP036,2,2,approve,2024-10-11 00:00:00,48,133.13,SLA breach
APR000003,PR,PR00002,EMP015,3,3,approve,2024-10-11 00:00:00,48,17.23,SLA breach
APR000004,PR,PR00003,EMP031,1,1,approve,2025-06-18 00:00:00,24,11.56,ok
APR000005,PR,PR00003,EMP023,2,2,approve,2025-06-18 00:00:00,48,14.99,ok
APR000006,PR,PR00003,EMP019,3,3,approve,2025-06-19 00:00:00,48,34.69,ok
APR000007,PR,PR00004,EMP006,1,1,approve,2024-10-30 00:00:00,24,8.06,ok
APR000008,PR,PR00004,EMP010,2,2,approve,2024-10-31 00:00:00,48,26.13,ok
APR000009,PR,PR00004,EMP027,3,3,approve,2024-11-01 00:00:00,48,32.77,ok
APR000010,PR,PR00005,EMP038,1,1,approve,2024-10-02 00:00:00,24,6.26,ok
APR000011,PR,PR00006,EMP005,1,1,approve,2024-02-28 00:00:00,24,10.62,ok
APR000012,PR,PR00006,EMP018,2,2,approve,2024-02-29 00:00:00,48,39.94,ok
APR000013,PR,PR00007,EMP003,1,1,approve,2025-07-06 00:00:00,24,74.42,SLA breach
APR000014,PR,PR00007,EMP022,2,2,approve,2025-07-06 00:00:00,48,12.24,SLA breach
APR000015,PR,PR00007,EMP033,3,3,approve,2025-07-07 00:00:00,48,25.25,SLA breach
APR000016,PR,PR00008,EMP003,1,1,approve,2024-03-11 00:00:00,24,4.9,ok
APR000017,PR,PR00008,EMP038,2,2,approve,2024-03-17 00:00:00,48,158.37,SLA breach
APR000018,PR,PR00008,EMP035,3,3,approve,2024-03-17 00:00:00,48,17.41,SLA breach
APR000019,PR,PR00009,EMP007,1,1,approve,2024-06-20 00:00:00,24,2.32,ok
APR000020,PR,PR00009,EMP040,2,2,approve,2024-06-25 00:00:00,48,143.4,SLA breach
APR000021,PR,PR00010,EMP012,1,1,approve,2024-01-30 00:00:00,24,1.13,ok
APR000022,PR,PR00011,EMP031,1,1,approve,2025-09-05 00:00:00,24,44.95,SLA breach
APR000023,PR,PR00012,EMP023,1,1,approve,2024-09-19 00:00:00,24,79.19,SLA breach
APR000024,PR,PR00012,EMP009,2,2,approve,2024-09-19 00:00:00,48,9.53,SLA breach
APR000025,PR,PR00014,EMP007,1,1,approve,2025-09-11 00:00:00,24,15.35,ok
APR000026,PR,PR00014,EMP036,2,2,approve,2025-09-11 00:00:00,48,11.15,ok
APR000027,PR,PR00015,EMP025,1,1,approve,2025-04-22 00:00:00,24,73.64,SLA breach
APR000028,PR,PR00015,EMP003,2,2,approve,2025-04-22 00:00:00,48,15.05,SLA breach
APR000029,PR,PR00017,EMP012,1,1,approve,2024-03-09 00:00:00,24,2.65,ok
APR000030,PR,PR00017,EMP007,2,2,approve,2024-03-10 00:00:00,48,41.37,ok
APR000031,PR,PR00017,EMP010,3,3,approve,2024-03-13 00:00:00,48,85.44,SLA breach
APR000032,PR,PR00018,EMP011,1,1,approve,2025-04-12 00:00:00,24,13.74,ok
APR000033,PR,PR00019,EMP037,1,1,approve,2024-05-01 00:00:00,24,16.54,ok
APR000034,PR,PR00019,EMP029,2,2,approve,2024-05-02 00:00:00,48,34.74,ok
APR000035,PR,PR00019,EMP031,3,3,approve,2024-05-02 00:00:00,48,5.74,ok
APR000036,PR,PR00020,EMP029,1,1,approve,2025-06-21 00:00:00,24,8.24,ok
APR000037,PR,PR00020,EMP029,2,2,approve,2025-06-21 00:00:00,48,4.7,ok
