budget_id,cost_center_id,category_id,period,budget_amount,committed_amount,actual_amount,currency
BUD00001,CC001,CAT008,2024-01,294889000.00,138489023.00,146624474.15,IDR
BUD00002,CC001,CAT005,2024-01,110503000.00,48627318.51,32675637.59,IDR
BUD00003,CC001,CAT001,2024-01,722561000.00,472463673.22,483112386.52,IDR
BUD00004,CC001,CAT002,2024-01,218146000.00,80466594.77,51991570.49,IDR
BUD00005,CC002,CAT003,2024-01,100692000.00,78094413.35,69252456.44,IDR
BUD00006,CC002,CAT005,2024-01,750604000.00,640051678.21,502728425.28,IDR
BUD00007,CC002,CAT010,2024-01,448393000.00,216329316.72,164763013.76,IDR
BUD00008,CC002,CAT001,2024-01,281409000.00,175596102.93,137762739.27,IDR
BUD00009,CC003,CAT010,2024-01,323973000.00,145859364.27,81588255.19,IDR
BUD00010,CC003,CAT001,2024-01,867624000.00,695465853.86,607753297.69,IDR
BUD00011,CC003,CAT007,2024-01,858168000.00,772131037.11,723473678.55,IDR
BUD00012,CC003,CAT006,2024-01,279084000.00,90462009.76,89699843.79,IDR
BUD00013,CC004,CAT008,2024-01,204266000.00,133017564.74,121393168.76,IDR
BUD00014,CC004,CAT009,2024-01,467967000.00,166009161.09,120551650.52,IDR
BUD00015,CC004,CAT010,2024-01,333312000.00,234011724.20,247473602.31,IDR
BUD00016,CC004,CAT003,2024-01,330333000.00,236585883.45,162615311.86,IDR
BUD00017,CC005,CAT007,2024-01,124851000.00,56362649.36,32428196.26,IDR
BUD00018,CC005,CAT009,2024-01,706666000.00,578721541.67,599672813.69,IDR
BUD00019,CC005,CAT001,2024-01,50978000.00,41884569.37,33519576.86,IDR
BUD00020,CC005,CAT004,2024-01,96073000.00,58706716.65,53112672.04,IDR
BUD00021,CC006,CAT008,2024-01,276998000.00,104873641.44,72071153.15,IDR
BUD00022,CC006,CAT010,2024-01,798720000.00,471905403.88,244808071.77,IDR
BUD00023,CC006,CAT001,2024-01,585519000.00,456463726.68,438825437.10,IDR
BUD00024,CC006,CAT002,2024-01,314138000.00,96818801.35,74085160.72,IDR
BUD00025,CC007,CAT004,2024-01,600553000.00,235646592.41,260678031.27,IDR
BUD00026,CC007,CAT002,2024-01,298082000.00,215586905.68,166016733.13,IDR
BUD00027,CC007,CAT008,2024-01,460125000.00,268405576.29,213895411.84,IDR
BUD00028,CC007,CAT001,2024-01,172946000.00,71662980.73,63751060.81,IDR
BUD00029,CC008,CAT003,2024-01,721505000.00,396081319.98,438565579.02,IDR
BUD00030,CC008,CAT002,2024-01,481577000.00,381567752.19,260933328.90,IDR
BUD00031,CC008,CAT005,2024-01,303772000.00,198108747.49,227683712.31,IDR
BUD00032,CC008,CAT007,2024-01,466194000.00,181422775.49,154223396.84,IDR
BUD00033,CC009,CAT006,2024-01,842924000.00,692682077.54,787928294.77,IDR
BUD00034,CC009,CAT010,2024-01,252985000.00,134027028.13,141587282.95,IDR
BUD00035,CC009,CAT007,2024-01,399159000.00,195949466.76,158216372.00,IDR
BUD00036,CC009,CAT004,2024-01,826416000.00,436958111.72,499211141.19,IDR
BUD00037,CC010,CAT003,2024-01,476947000.00,311974971.13,332348560.17,IDR
BUD00038,CC010,CAT008,2024-01,793062000.00,447432674.00,376679342.76,IDR
BUD00039,CC010,CAT001,2024-01,438389000.00,321543556.27,246458667.34,IDR
BUD00040,CC010,CAT002,2024-01,606564000.00,238147174.98,191748696.69,IDR
BUD00041,CC011,CAT005,2024-01,118268000.00,58795677.05,55169887.10,IDR
BUD00042,CC011,CAT006,2024-01,503579000.00,439364497.15,398687897.54,IDR
BUD00043,CC011,CAT007,2024-01,804323000.00,476777331.17,406052376.51,IDR
BUD00044,CC011,CAT009,2024-01,574841000.00,253425636.79,239451677.07,IDR
BUD00045,CC012,CAT005,2024-01,881587000.00,666675321.92,638360980.37,IDR
BUD00046,CC012,CAT004,2024-01,135431000.00,54147869.66,37613977.51,IDR
BUD00047,CC012,CAT002,2024-01,74605000.00,36901483.21,19796815.39,IDR
BUD00048,CC012,CAT009,2024-01,354694000.00,198065411.72,130471298.07,IDR
BUD00049,CC001,CAT007,2024-02,117123000.00,96334107.79,86971563.43,IDR
BUD00050,CC001,CAT003,2024-02,254705000.00,215912768.72,128041997.44,IDR
BUD00051,CC001,CAT009,2024-02,441977000.00,199944385.53,133155434.91,IDR
BUD00052,CC001,CAT002,2024-02,57988000.00,45391837.72,49285827.60,IDR
BUD00053,CC002,CAT009,2024-02,853450000.00,761781803.57,529019573.02,IDR
BUD00054,CC002,CAT003,2024-02,867725000.00,619718875.56,493880792.27,IDR
BUD00055,CC002,CAT002,2024-02,306803000.00,276007384.81,291096169.81,IDR
BUD00056,CC002,CAT004,2024-02,140655000.00,74380977.17,54545314.97,IDR
BUD00057,CC003,CAT005,2024-02,609495000.00,283225151.59,245798041.35,IDR
BUD00058,CC003,CAT010,2024-02,632930000.00,472672949.78,251404703.84,IDR
BUD00059,CC003,CAT001,2024-02,565446000.00,338157274.35,367813984.87,IDR
BUD00060,CC003,CAT007,2024-02,293265000.00,228546127.77,204455594.40,IDR
BUD00061,CC004,CAT006,2024-02,263033000.00,198154962.12,197928273.52,IDR
BUD00062,CC004,CAT004,2024-02,628727000.00,240216180.17,135279316.33,IDR
BUD00063,CC004,CAT009,2024-02,583339000.00,188799734.92,191178010.18,IDR
BUD00064,CC004,CAT005,2024-02,78360000.00,40662315.73,23804438.30,IDR
BUD00065,CC005,CAT005,2024-02,220676000.00,170341500.65,182214198.97,IDR
BUD00066,CC005,CAT006,2024-02,360979000.00,216976122.89,146923814.61,IDR
BUD00067,CC005,CAT007,2024-02,189863000.00,161085345.88,179404306.54,IDR
BUD00068,CC005,CAT002,2024-02,872276000.00,416149681.63,443514862.20,IDR
BUD00069,CC006,CAT002,2024-02,691029000.00,300852478.53,282684124.03,IDR
BUD00070,CC006,CAT008,2024-02,623245000.00,335584336.40,352274258.63,IDR
BUD00071,CC006,CAT010,2024-02,523716000.00,185490636.47,140318744.35,IDR
BUD00072,CC006,CAT009,2024-02,274790000.00,102813569.39,76038929.36,IDR
BUD00073,CC007,CAT005,2024-02,623611000.00,363494196.67,328128197.31,IDR
BUD00074,CC007,CAT007,2024-02,851694000.00,423124789.31,379353980.04,IDR
BUD00075,CC007,CAT006,2024-02,600505000.00,409089439.44,327997234.74,IDR
BUD00076,CC007,CAT001,2024-02,645916000.00,445387287.71,256471530.21,IDR
BUD00077,CC008,CAT001,2024-02,148702000.00,65559740.65,55686790.77,IDR
BUD00078,CC008,CAT010,2024-02,380349000.00,198773015.34,222048838.40,IDR
BUD00079,CC008,CAT005,2024-02,642011000.00,400689014.51,353316043.01,IDR
BUD00080,CC008,CAT004,2024-02,667609000.00,554948826.51,513715703.26,IDR
BUD00081,CC009,CAT008,2024-02,636739000.00,274028149.06,216222543.71,IDR
BUD00082,CC009,CAT007,2024-02,250696000.00,129763163.50,147618966.29,IDR
BUD00083,CC009,CAT005,2024-02,362235000.00,304646056.50,280011592.32,IDR
BUD00084,CC009,CAT001,2024-02,101468000.00,47236282.82,53345562.40,IDR
BUD00085,CC010,CAT008,2024-02,593569000.00,523917231.69,279182935.48,IDR
BUD00086,CC010,CAT002,2024-02,333483000.00,297897876.91,301334356.80,IDR
BUD00087,CC010,CAT004,2024-02,224425000.00,179066620.87,154039385.80,IDR
BUD00088,CC010,CAT006,2024-02,548426000.00,432067436.53,281469960.55,IDR
BUD00089,CC011,CAT003,2024-02,886424000.00,791147941.95,673377696.46,IDR
BUD00090,CC011,CAT001,2024-02,728737000.00,266685538.19,283537698.04,IDR
BUD00091,CC011,CAT005,2024-02,162033000.00,83438142.74,84479492.26,IDR
BUD00092,CC011,CAT007,2024-02,550525000.00,170370228.60,114572084.29,IDR
BUD00093,CC012,CAT003,2024-02,104024000.00,59186028.53,43520986.14,IDR
BUD00094,CC012,CAT007,2024-02,554616000.00,316798462.78,204020535.86,IDR
BUD00095,CC012,CAT002,2024-02,572841000.00,421809063.44,460062335.67,IDR
BUD00096,CC012,CAT006,2024-02,610068000.00,293429406.94,269418502.50,IDR
BUD00097,CC001,CAT001,2024-03,391375000.00,278525344.51,228021668.23,IDR
BUD00098,CC001,CAT010,2024-03,823246000.00,283274362.68,156512997.49,IDR
BUD00099,CC001,CAT008,2024-03,567053000.00,192463084.47,130636320.15,IDR
BUD00100,CC001,CAT007,2024-03,588115000.00,369932486.53,263159072.02,IDR
BUD00101,CC002,CAT010,2024-03,479718000.00,267740016.11,271893322.54,IDR
BUD00102,CC002,CAT009,2024-03,147252000.00,102020275.45,109213626.98,IDR
BUD00103,CC002,CAT005,2024-03,518635000.00,424915264.29,331240766.05,IDR
BUD00104,CC002,CAT004,2024-03,804877000.00,441304515.44,457995753.75,IDR
BUD00105,CC003,CAT007,2024-03,412749000.00,288538263.22,214469240.31,IDR
BUD00106,CC003,CAT010,2024-03,179743000.00,153462959.57,83428089.28,IDR
BUD00107,CC003,CAT002,2024-03,757006000.00,269447247.82,151635987.30,IDR
BUD00108,CC003,CAT003,2024-03,677977000.00,533609642.83,459779934.60,IDR
BUD00109,CC004,CAT010,2024-03,153897000.00,78819710.20,73497120.63,IDR
BUD00110,CC004,CAT009,2024-03,687742000.00,564536658.39,546860700.14,IDR
BUD00111,CC004,CAT006,2024-03,873139000.00,576486579.99,420010839.51,IDR
BUD00112,CC004,CAT008,2024-03,541231000.00,231453801.92,214529575.18,IDR
