contract_id,contract_number,vendor_id,category_id,start_date,end_date,contract_value,pricing_terms,auto_renew,status,negotiated_savings,baseline_price
CTR001,CTR/2025/001,VEN005,CAT002,2025-04-21,2028-04-20,3448243000.00,volume discount tiered,false,active,403444431.00,0.88
CTR002,CTR/2023/002,VEN013,CAT009,2023-04-29,2024-04-28,1692710000.00,volume discount tiered,true,expired,223437720.00,0.86
CTR003,CTR/2023/003,VEN011,CAT008,2023-02-17,2024-02-17,2698773000.00,volume discount tiered,false,expired,180817791.00,0.98
CTR004,CTR/2023/004,VEN021,CAT004,2023-11-25,2024-11-24,1124219000.00,volume discount tiered,false,expired,76446892.00,0.91
CTR005,CTR/2023/005,VEN022,CAT002,2023-10-07,2024-10-06,955981000.00,volume discount tiered,true,expired,138617245.00,0.87
CTR006,CTR/2023/006,VEN007,CAT009,2023-12-25,2026-12-24,1728728000.00,volume discount tiered,false,active,198803720.00,0.88
CTR007,CTR/2023/007,VEN019,CAT004,2023-06-25,2024-06-24,1694612000.00,volume discount tiered,true,expired,160988140.00,1.03
CTR008,CTR/2024/008,VEN005,CAT001,2024-04-27,2027-04-27,442189000.00,volume discount tiered,false,active,17687560.00,0.93
CTR009,CTR/2024/009,VEN006,CAT010,2024-08-29,2027-08-29,4213637000.00,volume discount tiered,false,active,438218248.00,0.99
CTR010,CTR/2024/010,VEN011,CAT004,2024-12-31,2027-12-31,4084639000.00,volume discount tiered,false,active,575934099.00,0.87
CTR011,CTR/2023/011,VEN019,CAT003,2023-04-06,2026-04-05,2447724000.00,volume discount tiered,false,active,274145088.00,0.94
CTR012,CTR/2023/012,VEN016,CAT004,2023-08-18,2024-08-17,4333262000.00,volume discount tiered,false,expired,606656680.00,0.97
CTR013,CTR/2025/013,VEN006,CAT006,2025-03-18,2027-03-18,2375759000.00,volume discount tiered,false,active,206691033.00,0.86
CTR014,CTR/2025/014,VEN016,CAT008,2025-05-16,2026-05-16,1554835000.00,volume discount tiered,true,active,153928665.00,0.92
CTR015,CTR/2023/015,VEN013,CAT002,2023-11-30,2026-11-29,3317367000.00,volume discount tiered,false,active,311832498.00,1.01
CTR016,CTR/2023/016,VEN019,CAT007,2023-09-02,2026-09-01,1369717000.00,volume discount tiered,true,active,120535096.00,0.88
CTR017,CTR/2025/017,VEN011,CAT004,2025-04-13,2028-04-12,3036657000.00,volume discount tiered,false,active,249005874.00,1.01
CTR018,CTR/2023/018,VEN018,CAT004,2023-06-27,2026-06-26,3414105000.00,volume discount tiered,false,active,392622075.00,1.00
CTR019,CTR/2024/019,VEN004,CAT010,2024-09-02,2026-09-02,1761815000.00,volume discount tiered,false,active,146230645.00,0.87
CTR020,CTR/2024/020,VEN013,CAT002,2024-09-04,2025-09-04,3490442000.00,volume discount tiered,false,expired,446776576.00,0.97
CTR021,CTR/2023/021,VEN016,CAT001,2023-04-03,2024-04-02,4121761000.00,volume discount tiered,true,expired,568803018.00,1.03
CTR022,CTR/2024/022,VEN025,CAT003,2024-11-07,2025-11-07,2374277000.00,volume discount tiered,false,expired,246924808.00,0.91
CTR023,CTR/2024/023,VEN007,CAT004,2024-11-28,2026-11-28,1638730000.00,volume discount tiered,false,active,183537760.00,1.01
CTR024,CTR/2023/024,VEN023,CAT006,2023-04-02,2026-04-01,238972000.00,volume discount tiered,true,active,18878788.00,1.05
CTR025,CTR/2023/025,VEN028,CAT005,2023-03-05,2025-03-04,4525163000.00,volume discount tiered,false,expired,135754890.00,1.04
