date,from_currency,to_currency,rate
2024-01-01,USD,USD,16048.13
2024-01-01,USD,SGD,12460.55
2024-01-01,USD,CNY,2256.80
2024-02-01,USD,USD,16055.96
2024-02-01,USD,SGD,12066.42
2024-02-01,USD,CNY,2223.89
2024-03-01,USD,USD,15938.08
2024-03-01,USD,SGD,12260.65
2024-03-01,USD,CNY,2225.10
2024-04-01,USD,USD,16436.08
2024-04-01,USD,SGD,12427.34
2024-04-01,USD,CNY,2275.67
2024-05-01,USD,USD,15900.18
2024-05-01,USD,SGD,12273.23
2024-05-01,USD,CNY,2219.83
2024-06-01,USD,USD,16287.08
2024-06-01,USD,SGD,12288.91
2024-06-01,USD,CNY,2263.07
2024-07-01,USD,USD,16667.06
2024-07-01,USD,SGD,12341.49
2024-07-01,USD,CNY,2222.49
2024-08-01,USD,USD,16064.78
2024-08-01,USD,SGD,11956.45
2024-08-01,USD,CNY,2278.08
2024-09-01,USD,USD,15837.04
2024-09-01,USD,SGD,11770.04
2024-09-01,USD,CNY,2189.86
2024-10-01,USD,USD,15997.96
2024-10-01,USD,SGD,12422.41
2024-10-01,USD,CNY,2268.61
2024-11-01,USD,USD,16445.71
2024-11-01,USD,SGD,11811.48
2024-11-01,USD,CNY,2184.16
2024-12-01,USD,USD,15990.38
2024-12-01,USD,SGD,12084.55
2024-12-01,USD,CNY,2228.50
2025-01-01,USD,USD,16652.46
2025-01-01,USD,SGD,11920.30
2025-01-01,USD,CNY,2298.83
2025-02-01,USD,USD,15824.89
2025-02-01,USD,SGD,11784.44
2025-02-01,USD,CNY,2248.89
2025-03-01,USD,USD,16274.86
2025-03-01,USD,SGD,12235.36
2025-03-01,USD,CNY,2202.98
2025-04-01,USD,USD,16502.43
2025-04-01,USD,SGD,12426.07
2025-04-01,USD,CNY,2194.00
2025-05-01,USD,USD,15955.24
2025-05-01,USD,SGD,12142.16
2025-05-01,USD,CNY,2238.68
2025-06-01,USD,USD,16293.44
2025-06-01,USD,SGD,12185.97
2025-06-01,USD,CNY,2287.22
2025-07-01,USD,USD,16083.73
2025-07-01,USD,SGD,12396.57
2025-07-01,USD,CNY,2222.64
2025-08-01,USD,USD,16286.05
2025-08-01,USD,SGD,12048.33
2025-08-01,USD,CNY,2259.26
2025-09-01,USD,USD,15772.54
2025-09-01,USD,SGD,12434.04
2025-09-01,USD,CNY,2195.90
2025-10-01,USD,USD,16455.38
2025-10-01,USD,SGD,12191.12
2025-10-01,USD,CNY,2218.23
2025-11-01,USD,USD,15792.91
2025-11-01,USD,SGD,11911.14
2025-11-01,USD,CNY,2257.02
2025-12-01,USD,USD,15866.15
2025-12-01,USD,SGD,12033.58
2025-12-01,USD,CNY,2275.57
