demand_id,item_id,period,quantity_used,source
DH000001,ITM0007,2024-01,440.8,sales
DH000002,ITM0007,2024-02,537.52,sales
DH000003,ITM0007,2024-03,646.42,sales
DH000004,ITM0007,2024-04,533.97,production
DH000005,ITM0007,2024-05,473.5,production
DH000006,ITM0007,2024-06,545.66,production
DH000007,ITM0007,2024-07,695.65,sales
DH000008,ITM0007,2024-08,582.61,production
DH000009,ITM0007,2024-09,517.44,production
DH000010,ITM0007,2024-10,494.62,production
DH000011,ITM0007,2024-11,531.94,sales
DH000012,ITM0007,2024-12,689.74,sales
DH000013,ITM0007,2025-01,634.84,sales
DH000014,ITM0007,2025-02,526.64,production
DH000015,ITM0007,2025-03,777.78,sales
DH000016,ITM0007,2025-04,726.73,sales
DH000017,ITM0007,2025-05,620.74,production
DH000018,ITM0007,2025-06,630.45,production
DH000019,ITM0007,2025-07,691.31,sales
DH000020,ITM0007,2025-08,602.5,sales
DH000021,ITM0007,2025-09,548.23,production
DH000022,ITM0007,2025-10,723.45,production
DH000023,ITM0007,2025-11,538.46,sales
DH000024,ITM0007,2025-12,532.27,production
DH000025,ITM0037,2024-01,166.05,sales
DH000026,ITM0037,2024-02,141.8,sales
DH000027,ITM0037,2024-03,119.07,production
DH000028,ITM0037,2024-04,115.92,production
DH000029,ITM0037,2024-05,194.75,production
DH000030,ITM0037,2024-06,166.02,production
DH000031,ITM0037,2024-07,129.83,production
DH000032,ITM0037,2024-08,214.2,production
DH000033,ITM0037,2024-09,144.58,production
DH000034,ITM0037,2024-10,136.91,production
DH000035,ITM0037,2024-11,148.56,sales
DH000036,ITM0037,2024-12,129.54,production
DH000037,ITM0037,2025-01,132.33,production
DH000038,ITM0037,2025-02,145.42,production
DH000039,ITM0037,2025-03,207.68,production
DH000040,ITM0037,2025-04,173.66,sales
DH000041,ITM0037,2025-05,209.17,production
DH000042,ITM0037,2025-06,222.43,sales
DH000043,ITM0037,2025-07,197.47,production
DH000044,ITM0037,2025-08,213.16,sales
DH000045,ITM0037,2025-09,232.35,production
DH000046,ITM0037,2025-10,184.67,sales
DH000047,ITM0037,2025-11,162.25,sales
DH000048,ITM0037,2025-12,178.34,sales
DH000049,ITM0040,2024-01,316.17,production
DH000050,ITM0040,2024-02,390.83,sales
DH000051,ITM0040,2024-03,518.79,production
DH000052,ITM0040,2024-04,432.82,production
DH000053,ITM0040,2024-05,419.95,production
DH000054,ITM0040,2024-06,391.3,sales
DH000055,ITM0040,2024-07,356.92,sales
DH000056,ITM0040,2024-08,385.33,production
DH000057,ITM0040,2024-09,303.94,sales
DH000058,ITM0040,2024-10,418.46,production
DH000059,ITM0040,2024-11,420.22,sales
DH000060,ITM0040,2024-12,464.43,sales
DH000061,ITM0040,2025-01,507.31,sales
DH000062,ITM0040,2025-02,352.88,sales
DH000063,ITM0040,2025-03,439.3,sales
DH000064,ITM0040,2025-04,549.68,production
DH000065,ITM0040,2025-05,514.13,sales
DH000066,ITM0040,2025-06,346.03,production
DH000067,ITM0040,2025-07,431.44,sales
DH000068,ITM0040,2025-08,508.66,sales
DH000069,ITM0040,2025-09,578.83,sales
DH000070,ITM0040,2025-10,363.83,production
DH000071,ITM0040,2025-11,573.67,sales
DH000072,ITM0040,2025-12,400.61,production
DH000073,ITM0010,2024-01,409.46,sales
DH000074,ITM0010,2024-02,451.31,production
DH000075,ITM0010,2024-03,730.12,sales
DH000076,ITM0010,2024-04,517.41,production
DH000077,ITM0010,2024-05,611.1,production
DH000078,ITM0010,2024-06,572.4,sales
DH000079,ITM0010,2024-07,442.92,sales
DH000080,ITM0010,2024-08,739.38,sales
DH000081,ITM0010,2024-09,493.71,production
DH000082,ITM0010,2024-10,767.47,production
DH000083,ITM0010,2024-11,630.42,production
DH000084,ITM0010,2024-12,754.0,sales
DH000085,ITM0010,2025-01,682.0,production
DH000086,ITM0010,2025-02,617.91,sales
DH000087,ITM0010,2025-03,811.33,sales
DH000088,ITM0010,2025-04,705.76,production
DH000089,ITM0010,2025-05,788.91,sales
DH000090,ITM0010,2025-06,792.09,sales
DH000091,ITM0010,2025-07,580.1,sales
DH000092,ITM0010,2025-08,640.97,production
DH000093,ITM0010,2025-09,613.48,sales
DH000094,ITM0010,2025-10,534.86,sales
DH000095,ITM0010,2025-11,557.47,sales
DH000096,ITM0010,2025-12,648.4,sales
DH000097,ITM0027,2024-01,384.79,production
DH000098,ITM0027,2024-02,571.54,production
DH000099,ITM0027,2024-03,464.44,production
DH000100,ITM0027,2024-04,586.16,sales
DH000101,ITM0027,2024-05,468.8,production
DH000102,ITM0027,2024-06,476.05,production
DH000103,ITM0027,2024-07,683.63,production
DH000104,ITM0027,2024-08,531.76,production
DH000105,ITM0027,2024-09,464.74,production
DH000106,ITM0027,2024-10,637.71,sales
DH000107,ITM0027,2024-11,553.13,production
DH000108,ITM0027,2024-12,525.27,production
DH000109,ITM0027,2025-01,440.44,sales
DH000110,ITM0027,2025-02,402.34,sales
DH000111,ITM0027,2025-03,573.94,sales
DH000112,ITM0027,2025-04,616.09,production
DH000113,ITM0027,2025-05,592.22,sales
DH000114,ITM0027,2025-06,447.06,sales
DH000115,ITM0027,2025-07,435.74,sales
DH000116,ITM0027,2025-08,670.72,production
DH000117,ITM0027,2025-09,450.62,sales
DH000118,ITM0027,2025-10,653.21,production
DH000119,ITM0027,2025-11,553.94,sales
DH000120,ITM0027,2025-12,622.8,sales
DH000121,ITM0004,2024-01,560.24,sales
DH000122,ITM0004,2024-02,562.09,sales
DH000123,ITM0004,2024-03,747.05,production
DH000124,ITM0004,2024-04,896.99,production
DH000125,ITM0004,2024-05,764.24,sales
DH000126,ITM0004,2024-06,622.86,sales
DH000127,ITM0004,2024-07,847.5,production
DH000128,ITM0004,2024-08,889.02,production
DH000129,ITM0004,2024-09,837.45,sales
DH000130,ITM0004,2024-10,883.3,sales
DH000131,ITM0004,2024-11,897.16,production
DH000132,ITM0004,2024-12,1044.02,production
DH000133,ITM0004,2025-01,884.81,sales
DH000134,ITM0004,2025-02,1073.03,sales
DH000135,ITM0004,2025-03,803.11,production
DH000136,ITM0004,2025-04,691.32,sales
DH000137,ITM0004,2025-05,912.2,sales
DH000138,ITM0004,2025-06,1067.42,production
DH000139,ITM0004,2025-07,944.63,sales
DH000140,ITM0004,2025-08,652.74,production
DH000141,ITM0004,2025-09,697.62,sales
DH000142,ITM0004,2025-10,734.64,production
DH000143,ITM0004,2025-11,831.58,production
DH000144,ITM0004,2025-12,845.31,sales
DH000145,ITM0017,2024-01,464.89,production
DH000146,ITM0017,2024-02,446.28,sales
DH000147,ITM0017,2024-03,402.04,production
DH000148,ITM0017,2024-04,521.38,sales
DH000149,ITM0017,2024-05,409.53,production
DH000150,ITM0017,2024-06,421.26,sales
DH000151,ITM0017,2024-07,550.12,production
DH000152,ITM0017,2024-08,584.93,sales
DH000153,ITM0017,2024-09,464.18,sales
DH000154,ITM0017,2024-10,417.43,sales
DH000155,ITM0017,2024-11,684.74,sales
DH000156,ITM0017,2024-12,445.56,sales
DH000157,ITM0017,2025-01,476.45,sales
DH000158,ITM0017,2025-02,457.85,production
DH000159,ITM0017,2025-03,671.54,sales
DH000160,ITM0017,2025-04,731.6,production
DH000161,ITM0017,2025-05,566.68,production
DH000162,ITM0017,2025-06,732.26,production
DH000163,ITM0017,2025-07,678.62,sales
DH000164,ITM0017,2025-08,583.7,production
DH000165,ITM0017,2025-09,804.35,production
DH000166,ITM0017,2025-10,719.65,sales
DH000167,ITM0017,2025-11,490.43,production
DH000168,ITM0017,2025-12,580.33,production
DH000169,ITM0023,2024-01,200.41,sales
DH000170,ITM0023,2024-02,181.07,production
DH000171,ITM0023,2024-03,221.02,sales
DH000172,ITM0023,2024-04,208.2,production
DH000173,ITM0023,2024-05,140.89,sales
DH000174,ITM0023,2024-06,197.74,sales
DH000175,ITM0023,2024-07,151.64,sales
DH000176,ITM0023,2024-08,182.29,sales
DH000177,ITM0023,2024-09,174.4,sales
DH000178,ITM0023,2024-10,179.83,production
DH000179,ITM0023,2024-11,192.62,sales
DH000180,ITM0023,2024-12,205.35,production
DH000181,ITM0023,2025-01,144.0,production
DH000182,ITM0023,2025-02,148.06,production
DH000183,ITM0023,2025-03,151.19,sales
DH000184,ITM0023,2025-04,213.3,sales
DH000185,ITM0023,2025-05,148.93,sales
DH000186,ITM0023,2025-06,246.88,sales
DH000187,ITM0023,2025-07,214.3,sales
DH000188,ITM0023,2025-08,199.95,production
DH000189,ITM0023,2025-09,248.84,production
DH000190,ITM0023,2025-10,264.58,sales
DH000191,ITM0023,2025-11,166.83,sales
DH000192,ITM0023,2025-12,156.61,production
DH000193,ITM0036,2024-01,858.99,sales
DH000194,ITM0036,2024-02,665.54,sales
DH000195,ITM0036,2024-03,613.79,sales
DH000196,ITM0036,2024-04,763.86,production
DH000197,ITM0036,2024-05,854.81,production
DH000198,ITM0036,2024-06,903.24,production
DH000199,ITM0036,2024-07,795.03,sales
DH000200,ITM0036,2024-08,869.57,production
DH000201,ITM0036,2024-09,888.16,production
DH000202,ITM0036,2024-10,696.75,production
DH000203,ITM0036,2024-11,620.72,production
DH000204,ITM0036,2024-12,931.59,sales
DH000205,ITM0036,2025-01,777.7,production
DH000206,ITM0036,2025-02,868.06,production
DH000207,ITM0036,2025-03,644.88,sales
DH000208,ITM0036,2025-04,797.17,production
DH000209,ITM0036,2025-05,686.72,production
DH000210,ITM0036,2025-06,980.5,production
DH000211,ITM0036,2025-07,682.3,sales
DH000212,ITM0036,2025-08,776.12,production
DH000213,ITM0036,2025-09,930.82,sales
DH000214,ITM0036,2025-10,843.49,sales
DH000215,ITM0036,2025-11,927.49,sales
DH000216,ITM0036,2025-12,936.37,production
DH000217,ITM0011,2024-01,517.35,sales
DH000218,ITM0011,2024-02,696.22,production
DH000219,ITM0011,2024-03,641.5,production
DH000220,ITM0011,2024-04,556.27,sales
DH000221,ITM0011,2024-05,502.59,sales
DH000222,ITM0011,2024-06,670.08,production
DH000223,ITM0011,2024-07,496.85,sales
DH000224,ITM0011,2024-08,811.69,production
DH000225,ITM0011,2024-09,489.27,sales
DH000226,ITM0011,2024-10,623.75,sales
DH000227,ITM0011,2024-11,513.81,production
DH000228,ITM0011,2024-12,664.36,sales
DH000229,ITM0011,2025-01,554.27,sales
DH000230,ITM0011,2025-02,725.09,production
DH000231,ITM0011,2025-03,833.76,production
DH000232,ITM0011,2025-04,554.83,sales
DH000233,ITM0011,2025-05,635.87,production
DH000234,ITM0011,2025-06,598.7,sales
DH000235,ITM0011,2025-07,902.99,production
DH000236,ITM0011,2025-08,931.54,production
DH000237,ITM0011,2025-09,778.55,sales
DH000238,ITM0011,2025-10,821.62,sales
DH000239,ITM0011,2025-11,927.09,production
DH000240,ITM0011,2025-12,926.06,production
DH000241,ITM0009,2024-01,886.5,sales
DH000242,ITM0009,2024-02,1059.34,sales
DH000243,ITM0009,2024-03,796.79,production
DH000244,ITM0009,2024-04,719.31,production
DH000245,ITM0009,2024-05,1036.14,production
DH000246,ITM0009,2024-06,623.06,production
DH000247,ITM0009,2024-07,819.24,sales
DH000248,ITM0009,2024-08,858.23,sales
DH000249,ITM0009,2024-09,745.32,sales
DH000250,ITM0009,2024-10,673.44,production
DH000251,ITM0009,2024-11,756.43,production
DH000252,ITM0009,2024-12,710.12,sales
DH000253,ITM0009,2025-01,977.63,sales
DH000254,ITM0009,2025-02,1054.97,sales
DH000255,ITM0009,2025-03,665.91,sales
DH000256,ITM0009,2025-04,795.85,production
DH000257,ITM0009,2025-05,1150.21,sales
DH000258,ITM0009,2025-06,1002.66,production
DH000259,ITM0009,2025-07,980.6,sales
DH000260,ITM0009,2025-08,894.97,sales
DH000261,ITM0009,2025-09,1119.1,sales
DH000262,ITM0009,2025-10,1090.67,production
DH000263,ITM0009,2025-11,946.17,sales
DH000264,ITM0009,2025-12,811.78,production
DH000265,ITM0020,2024-01,708.94,sales
DH000266,ITM0020,2024-02,574.14,production
DH000267,ITM0020,2024-03,743.43,sales
DH000268,ITM0020,2024-04,676.26,sales
DH000269,ITM0020,2024-05,655.7,sales
DH000270,ITM0020,2024-06,677.59,sales
DH000271,ITM0020,2024-07,445.47,sales
DH000272,ITM0020,2024-08,687.2,sales
DH000273,ITM0020,2024-09,507.46,production
DH000274,ITM0020,2024-10,635.97,sales
DH000275,ITM0020,2024-11,485.55,production
DH000276,ITM0020,2024-12,805.25,production
DH000277,ITM0020,2025-01,684.37,sales
DH000278,ITM0020,2025-02,521.99,production
DH000279,ITM0020,2025-03,590.67,sales
DH000280,ITM0020,2025-04,711.88,production
DH000281,ITM0020,2025-05,687.26,sales
DH000282,ITM0020,2025-06,541.72,production
DH000283,ITM0020,2025-07,756.22,sales
DH000284,ITM0020,2025-08,745.87,sales
DH000285,ITM0020,2025-09,568.34,sales
DH000286,ITM0020,2025-10,584.51,production
DH000287,ITM0020,2025-11,656.6,production
DH000288,ITM0020,2025-12,715.57,production
DH000289,ITM0018,2024-01,739.5,sales
DH000290,ITM0018,2024-02,546.83,sales
DH000291,ITM0018,2024-03,501.37,production
DH000292,ITM0018,2024-04,535.68,production
DH000293,ITM0018,2024-05,571.59,sales
DH000294,ITM0018,2024-06,469.8,production
DH000295,ITM0018,2024-07,759.92,sales
DH000296,ITM0018,2024-08,760.01,production
DH000297,ITM0018,2024-09,656.9,sales
DH000298,ITM0018,2024-10,805.0,production
DH000299,ITM0018,2024-11,697.38,production
DH000300,ITM0018,2024-12,474.71,sales
DH000301,ITM0018,2025-01,594.94,sales
DH000302,ITM0018,2025-02,548.38,production
DH000303,ITM0018,2025-03,833.76,production
DH000304,ITM0018,2025-04,476.55,sales
DH000305,ITM0018,2025-05,832.67,sales
DH000306,ITM0018,2025-06,765.79,production
DH000307,ITM0018,2025-07,783.93,production
DH000308,ITM0018,2025-08,543.57,production
DH000309,ITM0018,2025-09,509.32,production
DH000310,ITM0018,2025-10,575.12,sales
DH000311,ITM0018,2025-11,531.49,sales
DH000312,ITM0018,2025-12,568.88,production
DH000313,ITM0003,2024-01,319.7,sales
DH000314,ITM0003,2024-02,286.96,production
DH000315,ITM0003,2024-03,269.6,production
DH000316,ITM0003,2024-04,268.77,production
DH000317,ITM0003,2024-05,276.76,production
DH000318,ITM0003,2024-06,213.0,production
DH000319,ITM0003,2024-07,325.06,sales
DH000320,ITM0003,2024-08,297.67,sales
DH000321,ITM0003,2024-09,228.0,production
DH000322,ITM0003,2024-10,266.03,sales
DH000323,ITM0003,2024-11,252.23,production
DH000324,ITM0003,2024-12,358.99,sales
DH000325,ITM0003,2025-01,233.94,sales
DH000326,ITM0003,2025-02,233.27,sales
DH000327,ITM0003,2025-03,231.78,production
DH000328,ITM0003,2025-04,266.13,sales
DH000329,ITM0003,2025-05,396.9,production
DH000330,ITM0003,2025-06,255.69,sales
DH000331,ITM0003,2025-07,385.76,sales
DH000332,ITM0003,2025-08,334.47,production
DH000333,ITM0003,2025-09,324.45,production
DH000334,ITM0003,2025-10,312.0,sales
DH000335,ITM0003,2025-11,320.43,production
DH000336,ITM0003,2025-12,256.81,sales
DH000337,ITM0028,2024-01,566.51,sales
DH000338,ITM0028,2024-02,642.14,sales
DH000339,ITM0028,2024-03,701.24,sales
