driver_id,driver_name,period,value
DR0001,production,2024-01,1313.06
DR0002,sales,2024-01,10749.23
DR0003,headcount,2024-01,217
DR0004,production,2024-02,1128.19
DR0005,sales,2024-02,9359.83
DR0006,headcount,2024-02,206
DR0007,production,2024-03,3860.32
DR0008,sales,2024-03,15038.23
DR0009,headcount,2024-03,210
DR0010,production,2024-04,4984.98
DR0011,sales,2024-04,12328.32
DR0012,headcount,2024-04,200
DR0013,production,2024-05,4065.6
DR0014,sales,2024-05,17894.18
DR0015,headcount,2024-05,228
DR0016,production,2024-06,2992.64
DR0017,sales,2024-06,10576.84
DR0018,headcount,2024-06,239
DR0019,production,2024-07,1215.78
DR0020,sales,2024-07,5693.61
DR0021,headcount,2024-07,211
DR0022,production,2024-08,1633.69
DR0023,sales,2024-08,15880.59
DR0024,headcount,2024-08,201
DR0025,production,2024-09,2903.24
DR0026,sales,2024-09,9304.09
DR0027,headcount,2024-09,255
DR0028,production,2024-10,2857.18
DR0029,sales,2024-10,16204.41
DR0030,headcount,2024-10,215
DR0031,production,2024-11,1643.06
DR0032,sales,2024-11,12015.54
DR0033,headcount,2024-11,216
DR0034,production,2024-12,4522.62
DR0035,sales,2024-12,9643.65
DR0036,headcount,2024-12,217
DR0037,production,2025-01,4986.16
DR0038,sales,2025-01,8288.57
DR0039,headcount,2025-01,249
DR0040,production,2025-02,1247.46
DR0041,sales,2025-02,17082.41
DR0042,headcount,2025-02,213
DR0043,production,2025-03,1561.31
DR0044,sales,2025-03,19765.71
DR0045,headcount,2025-03,234
DR0046,production,2025-04,4726.77
DR0047,sales,2025-04,17120.59
DR0048,headcount,2025-04,251
DR0049,production,2025-05,2030.16
DR0050,sales,2025-05,11698.86
DR0051,headcount,2025-05,227
DR0052,production,2025-06,4834.22
DR0053,sales,2025-06,12216.57
DR0054,headcount,2025-06,203
DR0055,production,2025-07,3987.96
DR0056,sales,2025-07,13219.72
DR0057,headcount,2025-07,234
DR0058,production,2025-08,1696.09
DR0059,sales,2025-08,14314.56
DR0060,headcount,2025-08,256
DR0061,production,2025-09,3974.54
DR0062,sales,2025-09,16430.79
DR0063,headcount,2025-09,238
DR0064,production,2025-10,4839.06
DR0065,sales,2025-10,11293.48
DR0066,headcount,2025-10,209
DR0067,production,2025-11,1554.38
DR0068,sales,2025-11,8090.5
DR0069,headcount,2025-11,258
DR0070,production,2025-12,1544.76
DR0071,sales,2025-12,14979.55
DR0072,headcount,2025-12,205
