vendor_id,local_pct,carbon_kg
VEN001,93.0,44827.5
VEN002,84.2,46432.9
VEN003,85.3,19152.5
VEN004,60.6,20843.3
VEN005,90.0,5569.7
VEN006,47.4,7248.7
VEN007,53.7,48771.1
VEN008,20.7,24238.2
VEN009,56.1,31787.0
VEN010,98.1,17368.9
VEN011,10.3,43205.1
VEN012,18.6,47245.7
VEN013,52.5,787.9
VEN014,96.1,9653.3
VEN015,29.3,6888.7
VEN016,29.0,22780.1
VEN017,64.1,19560.3
VEN018,6.8,11251.7
VEN019,21.9,36930.1
VEN020,91.2,34842.6
VEN021,95.0,40649.0
VEN022,77.4,22857.1
VEN023,22.3,45933.2
VEN024,44.0,16178.2
VEN025,97.5,30873.6
VEN026,66.5,42307.9
VEN027,25.2,48679.2
VEN028,27.9,29131.3
VEN029,83.5,21372.8
VEN030,68.3,31712.4
