gr_id,gr_number,gr_date,po_id,received_qty,rejected_qty,reject_reason,inspection_result,warehouse_id,received_by
GR00001,GR202400001,2024-11-02,PO00001,4.94,0.06,spesifikasi beda,partial,WH02,EMP008
GR00002,GR202500002,2025-07-11,PO00002,484.71,15.29,spesifikasi beda,partial,WH02,EMP040
GR00003,GR202400003,2024-11-27,PO00003,479.72,20.28,rusak saat kirim,partial,WH02,EMP035
GR00004,GR202400004,2024-12-06,PO00004,45.32,4.68,spesifikasi beda,fail,WH01,EMP001
GR00005,GR202400005,2024-03-09,PO00005,48.59,1.41,kualitas tidak sesuai,partial,WH02,EMP005
GR00006,GR202500006,2025-07-07,PO00006,19.74,0.26,spesifikasi beda,partial,WH03,EMP023
GR00007,GR202400007,2024-03-26,PO00007,47.66,2.34,spesifikasi beda,partial,WH03,EMP010
GR00008,GR202400008,2024-03-13,PO00009,195.55,4.45,kualitas tidak sesuai,partial,WH03,EMP018
GR00009,GR202500009,2025-10-02,PO00010,0.95,0.05,kualitas tidak sesuai,partial,WH01,EMP032
GR00010,GR202400010,2024-10-05,PO00011,4927.92,72.08,rusak saat kirim,partial,WH03,EMP011
GR00011,GR202500011,2025-05-21,PO00013,4.95,0.05,kualitas tidak sesuai,partial,WH01,EMP025
GR00012,GR202400012,2024-04-06,PO00014,1946.69,53.31,spesifikasi beda,partial,WH03,EMP002
GR00013,GR202500013,2025-05-04,PO00015,19.98,0.02,spesifikasi beda,partial,WH03,EMP003
GR00014,GR202400014,2024-05-10,PO00016,197.30,2.70,rusak saat kirim,partial,WH01,EMP039
GR00015,GR202500015,2025-08-02,PO00017,9.85,0.15,kualitas tidak sesuai,partial,WH03,EMP025
GR00016,GR202400016,2024-07-24,PO00018,1.93,0.07,spesifikasi beda,partial,WH03,EMP024
GR00017,GR202500017,2025-07-14,PO00019,4.96,0.04,kualitas tidak sesuai,partial,WH03,EMP038
GR00018,GR202400018,2024-07-20,PO00020,48.73,1.27,kualitas tidak sesuai,partial,WH02,EMP008
GR00019,GR202500019,2025-12-26,PO00021,200.00,0.00,,pass,WH02,EMP025
GR00020,GR202500020,2025-01-07,PO00022,980.69,19.31,kualitas tidak sesuai,partial,WH01,EMP026
GR00021,GR202500021,2025-01-13,PO00023,1800.66,199.34,kualitas tidak sesuai,fail,WH02,EMP040
GR00022,GR202500022,2025-06-26,PO00024,0.97,0.03,spesifikasi beda,partial,WH01,EMP033
GR00023,GR202500023,2025-01-01,PO00025,48.79,1.21,rusak saat kirim,partial,WH01,EMP031
GR00024,GR202400024,2024-05-06,PO00026,19.58,0.42,kualitas tidak sesuai,partial,WH02,EMP005
GR00025,GR202500025,2025-11-20,PO00027,10.00,0.00,,pass,WH02,EMP003
GR00026,GR202500026,2025-05-16,PO00028,1.97,0.03,spesifikasi beda,partial,WH03,EMP025
GR00027,GR202500027,2025-05-07,PO00029,95.43,4.57,rusak saat kirim,partial,WH01,EMP026
GR00028,GR202400028,2024-10-04,PO00030,9.92,0.08,spesifikasi beda,partial,WH01,EMP008
GR00029,GR202500029,2025-05-10,PO00031,3.90,0.10,spesifikasi beda,partial,WH01,EMP001
GR00030,GR202600030,2026-01-07,PO00033,889.70,110.30,kualitas tidak sesuai,fail,WH01,EMP021
GR00031,GR202400031,2024-07-22,PO00034,161.67,5.00,spesifikasi beda,partial,WH01,EMP034
GR00032,GR202400032,2024-07-26,PO00035,164.77,1.90,spesifikasi beda,partial,WH03,EMP031
GR00033,GR202400033,2024-07-23,PO00036,161.75,4.92,kualitas tidak sesuai,partial,WH02,EMP017
GR00034,GR202400034,2024-09-14,PO00037,922.58,77.42,spesifikasi beda,fail,WH03,EMP010
GR00035,GR202500035,2025-06-07,PO00038,452.00,48.00,spesifikasi beda,fail,WH02,EMP040
GR00036,GR202500036,2025-05-04,PO00039,22.90,2.10,kualitas tidak sesuai,fail,WH03,EMP029
GR00037,GR202500037,2025-01-20,PO00040,2000.00,0.00,,pass,WH03,EMP022
GR00038,GR202400038,2024-10-28,PO00041,493.97,6.03,spesifikasi beda,partial,WH01,EMP005
GR00039,GR202400039,2024-09-27,PO00042,98.10,1.90,rusak saat kirim,partial,WH01,EMP008
GR00040,GR202400040,2024-11-23,PO00043,4.97,0.03,rusak saat kirim,partial,WH02,EMP036
GR00041,GR202400041,2024-06-16,PO00044,994.33,5.67,spesifikasi beda,partial,WH01,EMP024
GR00042,GR202500042,2025-11-03,PO00045,939.14,60.86,rusak saat kirim,fail,WH03,EMP034
GR00043,GR202500043,2025-05-28,PO00046,48.14,1.86,spesifikasi beda,partial,WH02,EMP022
GR00044,GR202500044,2025-07-03,PO00047,488.78,11.22,rusak saat kirim,partial,WH01,EMP004
GR00045,GR202400045,2024-12-07,PO00048,97.65,2.35,kualitas tidak sesuai,partial,WH01,EMP031
GR00046,GR202400046,2024-03-18,PO00049,19.47,0.53,rusak saat kirim,partial,WH03,EMP032
GR00047,GR202500047,2025-01-08,PO00050,48.19,1.81,kualitas tidak sesuai,partial,WH03,EMP013
GR00048,GR202400048,2024-06-23,PO00051,19.70,0.30,rusak saat kirim,partial,WH01,EMP037
GR00049,GR202400049,2024-07-21,PO00052,97.71,2.29,kualitas tidak sesuai,partial,WH01,EMP004
GR00050,GR202500050,2025-03-02,PO00053,241.34,8.66,rusak saat kirim,partial,WH03,EMP035
GR00051,GR202500051,2025-02-26,PO00054,1825.10,174.90,spesifikasi beda,fail,WH01,EMP010
GR00052,GR202400052,2024-05-22,PO00055,90.70,9.30,spesifikasi beda,fail,WH02,EMP012
GR00053,GR202500053,2025-02-25,PO00056,2.00,0.00,,pass,WH02,EMP025
GR00054,GR202500054,2025-07-16,PO00057,0.96,0.04,spesifikasi beda,partial,WH03,EMP001
GR00055,GR202400055,2024-10-09,PO00058,1.94,0.06,kualitas tidak sesuai,partial,WH01,EMP022
GR00056,GR202400056,2024-04-13,PO00059,181.61,18.39,kualitas tidak sesuai,fail,WH01,EMP009
GR00057,GR202500057,2025-04-01,PO00060,23.18,1.82,rusak saat kirim,fail,WH01,EMP017
GR00058,GR202400058,2024-08-03,PO00061,24.52,0.48,rusak saat kirim,partial,WH01,EMP013
GR00059,GR202400059,2024-04-28,PO00062,98.23,1.77,kualitas tidak sesuai,partial,WH03,EMP035
GR00060,GR202400060,2024-04-13,PO00063,183.36,16.64,spesifikasi beda,fail,WH01,EMP016
GR00061,GR202500061,2025-10-28,PO00064,49.80,0.20,rusak saat kirim,partial,WH01,EMP039
GR00062,GR202500062,2025-02-13,PO00065,4.88,0.12,kualitas tidak sesuai,partial,WH03,EMP024
GR00063,GR202500063,2025-10-21,PO00066,0.99,0.01,kualitas tidak sesuai,partial,WH01,EMP006
GR00064,GR202400064,2024-06-25,PO00067,896.43,103.57,kualitas tidak sesuai,fail,WH02,EMP012
GR00065,GR202400065,2024-10-12,PO00068,229.65,20.35,rusak saat kirim,fail,WH02,EMP022
GR00066,GR202500066,2025-04-20,PO00069,196.29,3.71,rusak saat kirim,partial,WH01,EMP020
GR00067,GR202400067,2024-08-17,PO00070,485.08,14.92,kualitas tidak sesuai,partial,WH02,EMP025
GR00068,GR202500068,2025-11-23,PO00071,82.99,17.01,rusak saat kirim,fail,WH01,EMP014
GR00069,GR202400069,2024-12-02,PO00072,9.88,0.12,rusak saat kirim,partial,WH03,EMP037
GR00070,GR202400070,2024-06-05,PO00073,996.22,3.78,rusak saat kirim,partial,WH03,EMP033
GR00071,GR202400071,2024-08-10,PO00074,912.46,87.54,kualitas tidak sesuai,fail,WH01,EMP008
GR00072,GR202500072,2025-12-14,PO00075,97.35,2.65,rusak saat kirim,partial,WH02,EMP011
GR00073,GR202500073,2025-01-23,PO00076,1250.00,0.00,,pass,WH03,EMP023
GR00074,GR202500074,2025-03-23,PO00077,5.00,0.00,,pass,WH03,EMP006
GR00075,GR202500075,2025-01-06,PO00079,197.80,2.20,kualitas tidak sesuai,partial,WH02,EMP026
GR00076,GR202400076,2024-06-22,PO00081,470.61,29.39,kualitas tidak sesuai,partial,WH03,EMP010
GR00077,GR202500077,2025-11-02,PO00082,9.10,0.90,rusak saat kirim,fail,WH01,EMP007
GR00078,GR202500078,2025-02-22,PO00083,478.37,21.63,rusak saat kirim,partial,WH03,EMP008
GR00079,GR202500079,2025-03-02,PO00084,927.99,72.01,kualitas tidak sesuai,fail,WH03,EMP036
GR00080,GR202400080,2024-08-19,PO00085,1000.00,0.00,,pass,WH01,EMP020
GR00081,GR202500081,2025-06-07,PO00086,46.14,3.86,kualitas tidak sesuai,fail,WH02,EMP022
GR00082,GR202400082,2024-05-25,PO00087,0.99,0.01,spesifikasi beda,partial,WH02,EMP010
GR00083,GR202600083,2026-01-09,PO00088,100.00,0.00,,pass,WH03,EMP016
GR00084,GR202400084,2024-10-11,PO00089,2.09,0.41,kualitas tidak sesuai,fail,WH01,EMP004
GR00085,GR202500085,2025-07-03,PO00090,490.99,9.01,kualitas tidak sesuai,partial,WH01,EMP039
GR00086,GR202500086,2025-07-04,PO00091,988.57,11.43,kualitas tidak sesuai,partial,WH02,EMP019
GR00087,GR202600087,2026-01-13,PO00092,486.59,13.41,spesifikasi beda,partial,WH01,EMP008
GR00088,GR202500088,2025-01-10,PO00093,20.61,4.39,rusak saat kirim,fail,WH01,EMP035
GR00089,GR202500089,2025-01-14,PO00094,482.43,17.57,rusak saat kirim,partial,WH03,EMP011
GR00090,GR202500090,2025-12-27,PO00095,48.37,1.63,rusak saat kirim,partial,WH02,EMP023
GR00091,GR202500091,2025-12-15,PO00096,227.61,22.39,kualitas tidak sesuai,fail,WH01,EMP002
GR00092,GR202500092,2025-08-13,PO00097,247.70,2.30,rusak saat kirim,partial,WH01,EMP038
GR00093,GR202400093,2024-05-18,PO00098,992.10,7.90,rusak saat kirim,partial,WH03,EMP005
GR00094,GR202400094,2024-01-20,PO00099,247.47,2.53,spesifikasi beda,partial,WH02,EMP028
GR00095,GR202400095,2024-01-29,PO00100,246.10,3.90,rusak saat kirim,partial,WH01,EMP037
GR00096,GR202500096,2025-04-06,PO00101,245.70,4.30,spesifikasi beda,partial,WH02,EMP039
GR00097,GR202400097,2024-12-26,PO00102,1.98,0.02,rusak saat kirim,partial,WH01,EMP036
GR00098,GR202500098,2025-10-29,PO00103,488.95,11.05,spesifikasi beda,partial,WH02,EMP029
GR00099,GR202400099,2024-10-01,PO00104,45.44,4.56,rusak saat kirim,fail,WH01,EMP020
