inventory_id,item_id,warehouse_id,stock_on_hand,stock_reserved,reorder_point,safety_stock,avg_consumption,lead_time_days,snapshot_date
INVST000001,ITM0039,WH01,436,11,629.87,83.66,65.61,16,2025-01-01
INVST000002,ITM0032,WH02,147,9,500.66,73.29,59.6,14,2025-01-01
INVST000003,ITM0022,WH02,22,13,235.72,89.75,56.12,7,2025-01-01
INVST000004,ITM0017,WH01,421,10,215.69,111.19,59.91,6,2025-01-01
INVST000005,ITM0034,WH03,120,35,1808.41,114.46,73.51,41,2025-01-01
INVST000006,ITM0015,WH02,462,10,1176.94,74.16,61.3,32,2025-01-01
INVST000007,ITM0014,WH03,49,12,2572.71,159.78,119.11,36,2025-01-01
INVST000008,ITM0040,WH03,495,50,1226.45,106.64,78.62,26,2025-01-01
INVST000009,ITM0033,WH01,402,5,445.63,49.79,25.61,29,2025-01-01
INVST000010,ITM0016,WH03,270,3,1160.89,139.83,74.42,26,2025-01-01
INVST000011,ITM0029,WH03,285,37,1368.82,101.94,65.18,35,2025-01-01
INVST000012,ITM0005,WH01,264,6,3156.91,127.83,116.92,45,2025-01-01
INVST000013,ITM0024,WH03,409,7,2891.43,145.75,114.74,42,2025-01-01
INVST000014,ITM0025,WH01,254,49,2258.54,122.35,99.06,38,2025-01-01
INVST000015,ITM0035,WH03,328,37,59.71,6.23,5.24,19,2025-01-01
INVST000016,ITM0028,WH02,381,12,1109.92,107.73,80.43,23,2025-01-01
INVST000017,ITM0004,WH03,96,28,722.61,64.44,37.64,32,2025-01-01
INVST000018,ITM0012,WH03,65,43,923.11,80.81,76.93,20,2025-01-01
INVST000019,ITM0009,WH01,483,40,375.56,34.23,29.81,21,2025-01-01
INVST000020,ITM0030,WH03,497,41,281.39,175.02,93.8,5,2025-01-01
INVST000021,ITM0006,WH02,41,12,1598.96,102.01,83.28,32,2025-01-01
INVST000022,ITM0038,WH03,113,33,538.15,25.02,20.38,44,2025-01-01
INVST000023,ITM0027,WH01,335,19,1970.23,170.45,96.58,34,2025-01-01
INVST000024,ITM0020,WH03,130,1,650.31,110.73,60.21,18,2025-01-01
INVST000025,ITM0011,WH01,472,23,401.83,65.97,60.88,11,2025-01-01
INVST000026,ITM0013,WH02,253,38,1692.39,148.08,76.23,37,2025-01-01
INVST000027,ITM0026,WH03,39,32,141.67,19.87,10.73,22,2025-01-01
INVST000028,ITM0001,WH01,428,17,829.58,145.25,98.76,14,2025-01-01
INVST000029,ITM0023,WH01,148,28,1246.7,94.02,79.92,26,2025-01-01
INVST000030,ITM0018,WH02,196,9,1821.79,128.14,70.61,43,2025-01-01
INVST000031,ITM0035,WH02,113,23,106.85,21.69,16.19,11,2025-02-01
INVST000032,ITM0014,WH02,47,26,23.45,7.97,7.82,5,2025-02-01
INVST000033,ITM0006,WH01,384,37,1322.76,124.32,66.81,33,2025-02-01
INVST000034,ITM0038,WH01,398,35,2219.51,223.49,112.1,33,2025-02-01
INVST000035,ITM0030,WH01,138,47,1927.44,204.3,103.63,31,2025-02-01
INVST000036,ITM0032,WH02,354,14,1058.93,102.02,67.88,26,2025-02-01
INVST000037,ITM0033,WH03,440,4,87.84,11.58,10.46,14,2025-02-01
INVST000038,ITM0023,WH02,274,8,405.03,27.79,23.28,29,2025-02-01
INVST000039,ITM0007,WH03,169,33,479.61,113.84,99.92,8,2025-02-01
INVST000040,ITM0039,WH03,478,5,82.54,16.81,8.6,16,2025-02-01
INVST000041,ITM0013,WH01,26,23,163.7,28.02,22.74,12,2025-02-01
INVST000042,ITM0012,WH03,18,46,942.97,82.19,49.11,32,2025-02-01
INVST000043,ITM0028,WH01,477,36,375.86,29.07,25.06,25,2025-02-01
INVST000044,ITM0002,WH03,81,43,713.85,56.8,42.49,28,2025-02-01
INVST000045,ITM0004,WH02,142,38,630.83,112.05,61.85,17,2025-02-01
INVST000046,ITM0018,WH01,47,13,587.14,74.35,39.14,25,2025-02-01
INVST000047,ITM0027,WH02,197,10,658.61,87.77,43.91,25,2025-02-01
INVST000048,ITM0024,WH02,426,27,2085.06,129.95,112.1,31,2025-02-01
INVST000049,ITM0029,WH01,217,10,922.88,99.43,56.97,27,2025-02-01
INVST000050,ITM0009,WH02,209,19,2174.51,152.64,109.82,33,2025-02-01
INVST000051,ITM0010,WH02,329,48,100.12,71.06,55.62,3,2025-02-01
INVST000052,ITM0001,WH01,171,44,814.06,146.33,113.06,12,2025-02-01
INVST000053,ITM0005,WH01,22,23,835.24,58.5,46.4,30,2025-02-01
INVST000054,ITM0015,WH02,147,14,1653.75,78.41,74.49,37,2025-02-01
INVST000055,ITM0017,WH01,246,44,384.31,28.05,14.56,44,2025-02-01
INVST000056,ITM0040,WH01,331,4,561.54,43.38,26.74,35,2025-02-01
INVST000057,ITM0019,WH02,55,15,325.46,73.12,54.24,10,2025-02-01
INVST000058,ITM0034,WH01,454,6,2624.21,146.2,106.68,41,2025-02-01
INVST000059,ITM0011,WH01,395,16,1246.8,115.64,90.35,23,2025-02-01
INVST000060,ITM0003,WH02,2,13,37.78,26.39,15.74,4,2025-02-01
INVST000061,ITM0030,WH02,395,46,1832.3,116.6,92.54,33,2025-03-01
INVST000062,ITM0004,WH01,149,46,2864.5,175.52,111.03,43,2025-03-01
INVST000063,ITM0034,WH01,393,30,984.35,141.97,102.54,16,2025-03-01
INVST000064,ITM0027,WH02,167,43,586.1,81.5,51.41,19,2025-03-01
INVST000065,ITM0036,WH03,270,27,794.17,65.01,42.7,31,2025-03-01
INVST000066,ITM0002,WH01,464,3,816.79,171.43,97.24,14,2025-03-01
