invoice_id,invoice_number,invoice_date,po_id,gr_id,vendor_id,invoice_amount,tax_amount,due_date,payment_date,payment_status,variance_amount
INV00001,INV/2024/00001,2024-11-04,PO00001,GR00001,VEN005,184248.03,20267.28,2024-11-19,,overdue,883.11
INV00002,INV/2025/00002,2025-07-14,PO00002,GR00002,VEN015,61470.47,6761.75,2025-07-14,2025-08-01,paid,-1794.32
INV00003,INV/2024/00003,2024-12-04,PO00003,GR00003,VEN001,52653.58,5791.89,2025-03-04,2025-01-11,paid,-855.09
INV00004,INV/2024/00004,2024-12-14,PO00004,GR00004,VEN013,881038.97,96914.29,2024-12-29,2025-01-30,paid,876606.29
INV00005,INV/2024/00005,2024-03-19,PO00005,GR00005,VEN002,382105.80,42031.64,2024-05-18,2024-06-10,paid,-189.88
INV00006,INV/2025/00006,2025-07-08,PO00006,GR00006,VEN020,361374.36,39751.18,2025-10-06,2025-08-01,paid,-3647.89
INV00007,INV/2024/00007,2024-03-28,PO00007,GR00007,VEN021,1068973.98,117587.14,2024-06-26,,overdue,15240.25
INV00008,INV/2024/00008,2024-03-16,PO00009,GR00008,VEN003,12257.38,1348.31,2024-03-16,2024-03-19,paid,16.96
INV00009,INV/2025/00009,2025-10-08,PO00010,GR00009,VEN012,875926.47,96351.91,2025-11-07,2025-11-19,paid,848303.19
INV00010,INV/2024/00010,2024-10-15,PO00011,GR00010,VEN028,1083297.12,119162.68,2024-12-14,2024-12-28,paid,18498.55
INV00011,INV/2025/00011,2025-05-27,PO00013,GR00011,VEN014,79330.96,8726.41,2025-05-27,2025-07-02,paid,-644.97
INV00012,INV/2024/00012,2024-04-13,PO00014,GR00012,VEN015,886446.08,97509.07,2024-04-13,2024-05-04,paid,811856.50
INV00013,INV/2025/00013,2025-05-07,PO00015,GR00013,VEN005,1165065.48,128157.20,2025-05-22,2025-06-11,paid,11459.00
INV00014,INV/2024/00014,2024-05-14,PO00016,GR00014,VEN030,32928.54,3622.14,2024-05-14,2024-06-01,paid,276.85
INV00015,INV/2025/00015,2025-08-07,PO00017,GR00015,VEN017,80346.37,8838.10,2025-09-21,2025-10-18,paid,-2034.23
INV00016,INV/2024/00016,2024-07-29,PO00018,GR00016,VEN018,42953.49,4724.88,2024-09-12,2024-09-28,paid,207.91
INV00017,INV/2025/00017,2025-07-17,PO00019,GR00017,VEN028,219165.97,24108.26,2025-08-16,2025-09-03,paid,-1968.59
INV00018,INV/2024/00018,2024-07-27,PO00020,GR00018,VEN017,1361894.92,149808.44,2024-08-26,,overdue,-35401.74
INV00019,INV/2026/00019,2026-01-02,PO00021,GR00019,VEN005,1694328.35,186376.12,2026-01-17,,unpaid,-7752.11
INV00020,INV/2025/00020,2025-01-09,PO00022,GR00020,VEN017,444937.21,48943.09,2025-04-09,2025-02-22,paid,-2668.87
INV00021,INV/2025/00021,2025-01-22,PO00023,GR00021,VEN004,223859.16,24624.51,2025-03-08,2025-03-23,paid,1643.06
INV00022,INV/2025/00022,2025-07-06,PO00024,GR00022,VEN011,198357.37,21819.31,2025-09-04,2025-09-23,paid,-5432.17
INV00023,INV/2025/00023,2025-01-08,PO00025,GR00023,VEN002,136227.34,14985.01,2025-02-07,2025-02-19,paid,715.42
INV00024,INV/2024/00024,2024-05-11,PO00026,GR00024,VEN011,321532.97,35368.63,2024-06-10,2024-07-20,paid,2897.10
INV00025,INV/2025/00025,2025-11-21,PO00027,GR00025,VEN030,36322.15,3995.44,2025-11-21,2025-12-09,paid,-661.28
