index_id,commodity_name,index_date,index_value,source
MI00001,Steel,2024-01-01,102.06,commodity_index
MI00002,Aluminium,2024-01-01,99.26,commodity_index
MI00003,Copper,2024-01-01,98.21,commodity_index
MI00004,Resin,2024-01-01,103.92,commodity_index
MI00005,Diesel,2024-01-01,103.44,commodity_index
MI00006,Steel,2024-02-01,105.16,commodity_index
MI00007,Aluminium,2024-02-01,101.67,commodity_index
MI00008,Copper,2024-02-01,99.03,commodity_index
MI00009,Resin,2024-02-01,102.91,commodity_index
MI00010,Diesel,2024-02-01,105.77,commodity_index
MI00011,Steel,2024-03-01,107.09,commodity_index
MI00012,Aluminium,2024-03-01,102.68,commodity_index
MI00013,Copper,2024-03-01,98.38,commodity_index
MI00014,Resin,2024-03-01,106.54,commodity_index
MI00015,Diesel,2024-03-01,106.95,commodity_index
MI00016,Steel,2024-04-01,106.44,commodity_index
MI00017,Aluminium,2024-04-01,103.71,commodity_index
MI00018,Copper,2024-04-01,100.9,commodity_index
MI00019,Resin,2024-04-01,104.71,commodity_index
MI00020,Diesel,2024-04-01,108.85,commodity_index
MI00021,Steel,2024-05-01,106.45,commodity_index
MI00022,Aluminium,2024-05-01,102.61,commodity_index
MI00023,Copper,2024-05-01,104.66,commodity_index
MI00024,Resin,2024-05-01,106.94,commodity_index
MI00025,Diesel,2024-05-01,110.69,commodity_index
MI00026,Steel,2024-06-01,107.85,commodity_index
MI00027,Aluminium,2024-06-01,106.71,commodity_index
MI00028,Copper,2024-06-01,105.11,commodity_index
MI00029,Resin,2024-06-01,105.33,commodity_index
MI00030,Diesel,2024-06-01,111.04,commodity_index
MI00031,Steel,2024-07-01,108.62,commodity_index
MI00032,Aluminium,2024-07-01,108.63,commodity_index
MI00033,Copper,2024-07-01,105.64,commodity_index
MI00034,Resin,2024-07-01,103.49,commodity_index
MI00035,Diesel,2024-07-01,109.73,commodity_index
MI00036,Steel,2024-08-01,107.13,commodity_index
MI00037,Aluminium,2024-08-01,107.32,commodity_index
MI00038,Copper,2024-08-01,103.59,commodity_index
MI00039,Resin,2024-08-01,106.64,commodity_index
MI00040,Diesel,2024-08-01,111.86,commodity_index
MI00041,Steel,2024-09-01,107.77,commodity_index
MI00042,Aluminium,2024-09-01,109.81,commodity_index
MI00043,Copper,2024-09-01,105.47,commodity_index
MI00044,Resin,2024-09-01,108.78,commodity_index
MI00045,Diesel,2024-09-01,111.05,commodity_index
MI00046,Steel,2024-10-01,106.6,commodity_index
MI00047,Aluminium,2024-10-01,111.4,commodity_index
MI00048,Copper,2024-10-01,104.09,commodity_index
MI00049,Resin,2024-10-01,111.15,commodity_index
MI00050,Diesel,2024-10-01,114.75,commodity_index
MI00051,Steel,2024-11-01,106.6,commodity_index
MI00052,Aluminium,2024-11-01,113.4,commodity_index
MI00053,Copper,2024-11-01,102.64,commodity_index
MI00054,Resin,2024-11-01,110.52,commodity_index
MI00055,Diesel,2024-11-01,114.22,commodity_index
MI00056,Steel,2024-12-01,108.34,commodity_index
MI00057,Aluminium,2024-12-01,114.82,commodity_index
MI00058,Copper,2024-12-01,104.83,commodity_index
MI00059,Resin,2024-12-01,114.84,commodity_index
MI00060,Diesel,2024-12-01,117.56,commodity_index
MI00061,Steel,2025-01-01,108.29,commodity_index
MI00062,Aluminium,2025-01-01,116.59,commodity_index
MI00063,Copper,2025-01-01,107.89,commodity_index
MI00064,Resin,2025-01-01,113.11,commodity_index
MI00065,Diesel,2025-01-01,121.03,commodity_index
MI00066,Steel,2025-02-01,107.98,commodity_index
MI00067,Aluminium,2025-02-01,120.83,commodity_index
MI00068,Copper,2025-02-01,111.75,commodity_index
MI00069,Resin,2025-02-01,112.59,commodity_index
MI00070,Diesel,2025-02-01,120.58,commodity_index
MI00071,Steel,2025-03-01,111.73,commodity_index
MI00072,Aluminium,2025-03-01,122.65,commodity_index
MI00073,Copper,2025-03-01,114.45,commodity_index
MI00074,Resin,2025-03-01,113.3,commodity_index
MI00075,Diesel,2025-03-01,120.71,commodity_index
MI00076,Steel,2025-04-01,112.62,commodity_index
MI00077,Aluminium,2025-04-01,121.28,commodity_index
MI00078,Copper,2025-04-01,118.34,commodity_index
MI00079,Resin,2025-04-01,111.41,commodity_index
MI00080,Diesel,2025-04-01,121.84,commodity_index
MI00081,Steel,2025-05-01,115.68,commodity_index
MI00082,Aluminium,2025-05-01,121.08,commodity_index
MI00083,Copper,2025-05-01,116.86,commodity_index
MI00084,Resin,2025-05-01,109.91,commodity_index
MI00085,Diesel,2025-05-01,125.52,commodity_index
MI00086,Steel,2025-06-01,116.23,commodity_index
MI00087,Aluminium,2025-06-01,122.8,commodity_index
MI00088,Copper,2025-06-01,118.64,commodity_index
MI00089,Resin,2025-06-01,113.91,commodity_index
MI00090,Diesel,2025-06-01,129.14,commodity_index
MI00091,Steel,2025-07-01,116.17,commodity_index
MI00092,Aluminium,2025-07-01,126.77,commodity_index
MI00093,Copper,2025-07-01,118.41,commodity_index
MI00094,Resin,2025-07-01,113.72,commodity_index
MI00095,Diesel,2025-07-01,131.93,commodity_index
MI00096,Steel,2025-08-01,116.38,commodity_index
MI00097,Aluminium,2025-08-01,126.59,commodity_index
MI00098,Copper,2025-08-01,116.52,commodity_index
MI00099,Resin,2025-08-01,113.44,commodity_index
MI00100,Diesel,2025-08-01,131.81,commodity_index
MI00101,Steel,2025-09-01,116.27,commodity_index
MI00102,Aluminium,2025-09-01,129.4,commodity_index
MI00103,Copper,2025-09-01,117.77,commodity_index
MI00104,Resin,2025-09-01,114.65,commodity_index
MI00105,Diesel,2025-09-01,134.45,commodity_index
MI00106,Steel,2025-10-01,116.69,commodity_index
MI00107,Aluminium,2025-10-01,129.75,commodity_index
MI00108,Copper,2025-10-01,121.52,commodity_index
MI00109,Resin,2025-10-01,118.44,commodity_index
MI00110,Diesel,2025-10-01,136.68,commodity_index
MI00111,Steel,2025-11-01,120.62,commodity_index
MI00112,Aluminium,2025-11-01,129.11,commodity_index
MI00113,Copper,2025-11-01,126.25,commodity_index
MI00114,Resin,2025-11-01,119.46,commodity_index
MI00115,Diesel,2025-11-01,138.52,commodity_index
MI00116,Steel,2025-12-01,119.33,commodity_index
MI00117,Aluminium,2025-12-01,128.36,commodity_index
MI00118,Copper,2025-12-01,128.24,commodity_index
MI00119,Resin,2025-12-01,118.67,commodity_index
MI00120,Diesel,2025-12-01,139.38,commodity_index
