payment_id,invoice_id,payment_date,payment_method,amount_paid,bank_ref,paid_by
PAY00001,INV00002,2025-08-01,giro,61470.47,REF3223631,EMP040
PAY00002,INV00003,2025-01-11,virtual_account,52653.58,REF8293631,EMP001
PAY00003,INV00004,2025-01-30,giro,881038.97,REF5226115,EMP013
PAY00004,INV00005,2024-06-10,giro,382105.80,REF2819161,EMP010
PAY00005,INV00006,2025-08-01,giro,361374.36,REF9969540,EMP022
PAY00006,INV00008,2024-03-19,virtual_account,12257.38,REF4019906,EMP032
PAY00007,INV00009,2025-11-19,transfer,875926.47,REF2847722,EMP021
PAY00008,INV00010,2024-12-28,virtual_account,1083297.12,REF4853765,EMP006
PAY00009,INV00011,2025-07-02,virtual_account,79330.96,REF2124172,EMP036
PAY00010,INV00012,2024-05-04,giro,886446.08,REF9894713,EMP036
PAY00011,INV00013,2025-06-11,transfer,1165065.48,REF9953043,EMP020
PAY00012,INV00014,2024-06-01,transfer,32928.54,REF1378303,EMP006
PAY00013,INV00015,2025-10-18,giro,80346.37,REF3297254,EMP013
PAY00014,INV00016,2024-09-28,virtual_account,42953.49,REF3006281,EMP024
PAY00015,INV00017,2025-09-03,giro,219165.97,REF7912120,EMP022
PAY00016,INV00020,2025-02-22,transfer,444937.21,REF7102041,EMP013
PAY00017,INV00021,2025-03-23,transfer,223859.16,REF5925168,EMP032
PAY00018,INV00022,2025-09-23,virtual_account,198357.37,REF6918393,EMP019
PAY00019,INV00023,2025-02-19,virtual_account,136227.34,REF2639564,EMP032
PAY00020,INV00024,2024-07-20,giro,321532.97,REF4356734,EMP027
PAY00021,INV00025,2025-12-09,virtual_account,36322.15,REF3952542,EMP003
PAY00022,INV00026,2025-05-30,transfer,25242.65,REF4592146,EMP018
PAY00023,INV00028,2024-11-20,giro,148198.12,REF6358628,EMP029
PAY00024,INV00029,2025-07-21,transfer,151537.56,REF4766215,EMP014
PAY00025,INV00031,2024-09-26,virtual_account,2147994.87,REF2582179,EMP022
PAY00026,INV00032,2024-09-17,transfer,2168246.04,REF8601790,EMP021
PAY00027,INV00035,2025-06-21,virtual_account,136063.71,REF5350628,EMP007
PAY00028,INV00036,2025-05-25,giro,303529.66,REF7572195,EMP004
PAY00029,INV00039,2024-10-05,transfer,13322.64,REF8946752,EMP022
PAY00030,INV00040,2024-12-01,giro,42536.81,REF9854875,EMP040
PAY00031,INV00042,2026-03-18,virtual_account,198501.11,REF8103845,EMP029
PAY00032,INV00044,2025-09-17,virtual_account,63302.56,REF7460044,EMP008
PAY00033,INV00045,2025-03-05,transfer,29095.78,REF9561890,EMP019
PAY00034,INV00046,2024-05-13,virtual_account,3511867.36,REF8468826,EMP008
PAY00035,INV00047,2025-01-27,virtual_account,2258.69,REF3151617,EMP005
PAY00036,INV00048,2024-07-25,transfer,1031935.43,REF5194038,EMP013
PAY00037,INV00049,2024-09-19,transfer,340903.59,REF1177948,EMP030
PAY00038,INV00050,2025-04-14,giro,185431.91,REF1135590,EMP034
PAY00039,INV00051,2025-06-09,transfer,595942.46,REF1498041,EMP013
PAY00040,INV00052,2024-07-01,giro,68913.91,REF5501921,EMP038
PAY00041,INV00053,2025-03-25,transfer,6269.70,REF5941189,EMP033
PAY00042,INV00054,2025-08-18,transfer,16029.93,REF4521118,EMP031
PAY00043,INV00055,2024-12-09,giro,3070.89,REF4425984,EMP026
PAY00044,INV00056,2024-04-29,transfer,133444.31,REF4450687,EMP020
PAY00045,INV00057,2025-07-21,transfer,816388.03,REF7655090,EMP003
PAY00046,INV00058,2024-09-23,virtual_account,2155119.31,REF2059841,EMP015
PAY00047,INV00060,2024-06-03,transfer,8083.08,REF5666187,EMP021
PAY00048,INV00061,2025-12-01,giro,168576.35,REF9072704,EMP006
PAY00049,INV00062,2025-05-27,giro,76831.91,REF9213304,EMP020
PAY00050,INV00063,2025-11-08,virtual_account,1691.82,REF4167928,EMP028
PAY00051,INV00064,2024-07-27,giro,84293.60,REF4566389,EMP012
PAY00052,INV00065,2024-11-18,giro,4894903.53,REF7685239,EMP025
PAY00053,INV00067,2024-10-04,giro,895355.49,REF3119085,EMP034
PAY00054,INV00068,2025-12-01,transfer,1262.30,REF9178970,EMP026
PAY00055,INV00069,2025-01-29,virtual_account,145822.78,REF3822312,EMP004
PAY00056,INV00070,2024-07-30,virtual_account,407691.89,REF2586340,EMP038
PAY00057,INV00072,2025-12-22,virtual_account,969401.05,REF5519776,EMP013
PAY00058,INV00073,2025-02-14,transfer,2428324.85,REF3864666,EMP021
PAY00059,INV00074,2025-06-19,transfer,1156248.37,REF2286698,EMP016
PAY00060,INV00075,2025-03-19,transfer,22362.85,REF8358018,EMP029
PAY00061,INV00076,2024-07-18,transfer,888609.66,REF8152177,EMP002
PAY00062,INV00077,2026-02-08,giro,86858.48,REF9872833,EMP039
PAY00063,INV00078,2025-03-14,virtual_account,989312.39,REF5599450,EMP009
PAY00064,INV00079,2025-03-20,virtual_account,37540.28,REF1174620,EMP023
PAY00065,INV00080,2024-10-14,transfer,54060.23,REF3407905,EMP005
PAY00066,INV00081,2025-08-25,transfer,5877.75,REF1355809,EMP003
PAY00067,INV00082,2024-07-19,transfer,2486.75,REF5548190,EMP032
PAY00068,INV00083,2026-03-28,virtual_account,12078.61,REF4860680,EMP025
PAY00069,INV00084,2024-11-17,virtual_account,881603.33,REF5329433,EMP037
PAY00070,INV00085,2025-08-17,transfer,4514.20,REF5032154,EMP018
PAY00071,INV00087,2026-03-12,giro,25128.28,REF3163996,EMP029
PAY00072,INV00088,2025-01-19,virtual_account,2034389.34,REF7380120,EMP004
PAY00073,INV00089,2025-01-26,virtual_account,375681.02,REF4331283,EMP005
PAY00074,INV00091,2026-03-11,giro,39590.40,REF6621876,EMP011
PAY00075,INV00092,2025-08-28,virtual_account,19300.74,REF7415688,EMP002
PAY00076,INV00093,2024-07-21,transfer,41092.14,REF4016651,EMP020
PAY00077,INV00094,2024-02-19,virtual_account,22947493.57,REF5715786,EMP026
PAY00078,INV00095,2024-02-05,virtual_account,22212747.64,REF5245703,EMP038
PAY00079,INV00096,2025-06-30,giro,5430675.89,REF8301537,EMP021
PAY00080,INV00097,2025-01-26,giro,23090.12,REF3036971,EMP024
PAY00081,INV00098,2026-03-08,giro,4016.26,REF6400776,EMP031
PAY00082,INV00100,2024-10-10,transfer,49065.59,REF6832315,EMP019
PAY00083,INV00101,2026-04-02,virtual_account,230190.45,REF5317440,EMP032
PAY00084,INV00102,2025-02-08,giro,3899287.26,REF4197278,EMP003
PAY00085,INV00103,2025-12-18,giro,20280.12,REF1898185,EMP026
PAY00086,INV00104,2025-12-28,giro,9157.57,REF8367376,EMP040
PAY00087,INV00105,2024-09-26,transfer,88071.37,REF6852464,EMP034
PAY00088,INV00106,2025-05-24,transfer,38592.78,REF2038956,EMP040
PAY00089,INV00107,2024-11-17,virtual_account,884961.26,REF6907359,EMP023
PAY00090,INV00108,2025-12-01,virtual_account,191077.23,REF1502947,EMP003
PAY00091,INV00109,2025-03-21,giro,144826.15,REF3101134,EMP028
PAY00092,INV00111,2025-03-28,giro,325653.54,REF1566334,EMP018
PAY00093,INV00112,2024-12-28,giro,7321007.72,REF8110771,EMP037
PAY00094,INV00113,2025-02-22,transfer,141044.64,REF1645952,EMP012
PAY00095,INV00115,2025-04-18,giro,111292.04,REF4873703,EMP030
PAY00096,INV00118,2024-02-14,virtual_account,1033677.33,REF5674614,EMP010
PAY00097,INV00119,2024-07-26,virtual_account,789573.50,REF2242998,EMP021
PAY00098,INV00120,2024-04-28,giro,1002051.69,REF9137955,EMP032
PAY00099,INV00121,2025-12-02,giro,45882.11,REF8510091,EMP027
PAY00100,INV00122,2024-10-10,transfer,3219896.04,REF9834133,EMP007
PAY00101,INV00123,2025-08-02,virtual_account,22872.73,REF8908785,EMP025
PAY00102,INV00124,2025-01-27,transfer,8773.67,REF9278176,EMP017
PAY00103,INV00125,2025-05-22,transfer,25593.80,REF8306131,EMP019
PAY00104,INV00126,2025-09-07,virtual_account,34103.02,REF4398864,EMP005
PAY00105,INV00127,2025-12-27,virtual_account,84713.04,REF2311972,EMP039
PAY00106,INV00129,2026-04-07,giro,358939.06,REF2031520,EMP005
