price_id,item_id,vendor_id,effective_date,unit_price,currency,source
PH000001,ITM0009,VEN005,2024-10-22,33528.53,IDR,po
PH000002,ITM0018,VEN015,2025-06-23,118.09,IDR,po
PH000003,ITM0017,VEN001,2024-11-13,97.57,IDR,po
PH000004,ITM0029,VEN013,2024-10-22,83.08,IDR,po
PH000005,ITM0006,VEN002,2024-03-05,7004.26,IDR,po
PH000006,ITM0014,VEN020,2025-07-07,16874.89,IDR,po
PH000007,ITM0019,VEN021,2024-03-23,9482.71,IDR,po
PH000008,ITM0022,VEN003,2024-02-16,57.16,IDR,po
PH000009,ITM0020,VEN012,2025-09-18,24471.08,IDR,po
PH000010,ITM0027,VEN028,2024-09-20,197.47,IDR,po
PH000011,ITM0011,VEN014,2025-05-06,14685.85,IDR,po
PH000012,ITM0023,VEN015,2024-03-26,35.14,IDR,po
PH000013,ITM0037,VEN005,2025-04-30,51346.02,IDR,po
PH000014,ITM0026,VEN030,2024-05-04,148.11,IDR,po
PH000015,ITM0006,VEN017,2025-07-05,7487.72,IDR,po
PH000016,ITM0019,VEN018,2024-07-09,9879.51,IDR,po
PH000017,ITM0002,VEN028,2025-06-08,41219.54,IDR,po
PH000018,ITM0010,VEN017,2024-07-15,25054.09,IDR,po
PH000019,ITM0006,VEN005,2025-12-17,7966.44,IDR,po
PH000020,ITM0008,VEN017,2024-12-17,422.13,IDR,po
PH000021,ITM0026,VEN004,2025-01-11,101.27,IDR,po
PH000022,ITM0035,VEN011,2025-06-16,182966.09,IDR,po
PH000023,ITM0038,VEN002,2024-12-24,2558.10,IDR,po
PH000024,ITM0014,VEN011,2024-04-12,14227.99,IDR,po
PH000025,ITM0040,VEN030,2025-11-14,3375.12,IDR,po
PH000026,ITM0004,VEN028,2025-05-12,11344.71,IDR,po
PH000027,ITM0038,VEN002,2025-04-25,2717.97,IDR,po
PH000028,ITM0011,VEN021,2024-09-28,13630.48,IDR,po
PH000029,ITM0009,VEN009,2025-05-04,34341.24,IDR,po
PH000030,ITM0025,VEN023,2025-12-31,33.56,IDR,po
PH000031,ITM0032,VEN025,2024-07-19,11609.75,IDR,po
PH000032,ITM0032,VEN025,2024-07-17,11609.75,IDR,po
PH000033,ITM0032,VEN025,2024-07-19,11609.75,IDR,po
PH000034,ITM0026,VEN010,2024-08-31,109.83,IDR,po
PH000035,ITM0031,VEN010,2025-05-24,246.93,IDR,po
PH000036,ITM0001,VEN013,2025-04-19,10693.89,IDR,po
PH000037,ITM0028,VEN014,2025-01-06,810.97,IDR,po
PH000038,ITM0025,VEN014,2024-10-27,49.45,IDR,po
PH000039,ITM0022,VEN026,2024-09-16,59.13,IDR,po
PH000040,ITM0006,VEN009,2024-11-19,7464.41,IDR,po
PH000041,ITM0029,VEN021,2024-05-30,106.81,IDR,po
PH000042,ITM0029,VEN010,2025-10-28,186.52,IDR,po
PH000043,ITM0011,VEN012,2025-05-11,12858.61,IDR,po
PH000044,ITM0026,VEN019,2025-06-30,118.05,IDR,po
PH000045,ITM0030,VEN018,2024-11-01,267.99,IDR,po
PH000046,ITM0035,VEN019,2024-03-17,162072.20,IDR,po
PH000047,ITM0025,VEN027,2024-12-27,41.33,IDR,po
PH000048,ITM0037,VEN028,2024-06-09,46796.34,IDR,po
PH000049,ITM0005,VEN021,2024-07-17,3073.47,IDR,po
PH000050,ITM0028,VEN029,2025-02-27,678.42,IDR,po
PH000051,ITM0031,VEN023,2025-01-14,274.79,IDR,po
PH000052,ITM0013,VEN023,2024-05-13,653.18,IDR,po
PH000053,ITM0038,VEN021,2025-02-14,2959.11,IDR,po
PH000054,ITM0006,VEN026,2025-07-09,7362.60,IDR,po
PH000055,ITM0036,VEN025,2024-09-26,1424.58,IDR,po
PH000056,ITM0013,VEN023,2024-04-05,608.65,IDR,po
PH000057,ITM0012,VEN013,2025-02-04,17544.60,IDR,po
PH000058,ITM0002,VEN020,2024-07-14,40273.16,IDR,po
PH000059,ITM0011,VEN014,2024-04-08,13097.33,IDR,po
PH000060,ITM0025,VEN022,2024-04-07,36.87,IDR,po
PH000061,ITM0003,VEN017,2025-10-21,3244.80,IDR,po
PH000062,ITM0011,VEN014,2025-02-02,13836.41,IDR,po
PH000063,ITM0005,VEN014,2025-10-18,1513.68,IDR,po
PH000064,ITM0017,VEN023,2024-06-18,75.66,IDR,po
PH000065,ITM0012,VEN013,2024-08-23,17589.15,IDR,po
PH000066,ITM0031,VEN017,2025-04-07,363.06,IDR,po
PH000067,ITM0031,VEN029,2024-08-13,324.98,IDR,po
PH000068,ITM0015,VEN004,2025-11-10,5.82,IDR,po
PH000069,ITM0011,VEN018,2024-11-02,13777.06,IDR,po
PH000070,ITM0031,VEN006,2024-05-08,390.33,IDR,po
PH000071,ITM0028,VEN010,2024-08-03,565.24,IDR,po
PH000072,ITM0020,VEN002,2025-12-04,26592.00,IDR,po
PH000073,ITM0033,VEN020,2025-01-16,868.93,IDR,po
PH000074,ITM0035,VEN018,2025-03-04,205147.97,IDR,po
PH000075,ITM0017,VEN007,2024-12-02,101.54,IDR,po
PH000076,ITM0033,VEN001,2024-06-08,818.47,IDR,po
PH000077,ITM0004,VEN013,2025-10-23,7610.92,IDR,po
PH000078,ITM0018,VEN007,2025-02-14,138.48,IDR,po
PH000079,ITM0025,VEN013,2025-01-28,34.78,IDR,po
PH000080,ITM0018,VEN006,2024-08-12,50.93,IDR,po
PH000081,ITM0026,VEN004,2025-04-11,111.42,IDR,po
PH000082,ITM0007,VEN017,2024-05-15,2225.83,IDR,po
PH000083,ITM0017,VEN026,2025-12-08,115.32,IDR,po
PH000084,ITM0009,VEN004,2024-09-16,28259.22,IDR,po
PH000085,ITM0015,VEN014,2025-06-27,8.73,IDR,po
PH000086,ITM0026,VEN024,2025-06-26,145.14,IDR,po
PH000087,ITM0025,VEN008,2025-12-30,45.34,IDR,po
PH000088,ITM0037,VEN013,2024-11-23,37469.59,IDR,po
