po_id,po_number,po_date,pr_id,vendor_id,item_id,quantity,unit_price,total_amount,discount,tax_amount,freight_cost,currency,exchange_rate,payment_terms,delivery_date_promised,delivery_date_actual,incoterms,contract_id,status,is_split_po,parent_po_id
PO00001,PO202400001,2024-10-22,PR00002,VEN005,ITM0009,5.00,33528.53,183364.92,5067.61,17883.26,2906.61,IDR,1.0,Net 15,2024-11-13,2024-10-30,EXW,CTR001,closed,false,
PO00002,PO202500002,2025-06-23,PR00003,VEN015,ITM0018,500.00,118.09,63264.79,2052.05,6269.48,0.00,IDR,1.0,COD,2025-07-19,2025-07-11,CIF,CTR004,closed,false,
PO00003,PO202400003,2024-11-13,PR00004,VEN001,ITM0017,500.00,97.57,53508.67,580.43,5302.66,0.00,IDR,1.0,Net 90,2024-11-30,2024-11-24,FOB,,closed,false,
PO00004,PO202400004,2024-10-22,PR00005,VEN013,ITM0029,50.00,83.08,4432.68,160.58,439.27,0.00,IDR,1.0,Net 15,2024-11-13,2024-12-04,CIF,CTR016,closed,false,
PO00005,PO202400005,2024-03-05,PR00006,VEN002,ITM0006,50.00,7004.26,382295.69,12121.25,37190.09,7013.85,IDR,1.0,Net 60,2024-03-28,2024-03-07,DDP,CTR008,closed,false,
PO00006,PO202500006,2025-07-07,PR00007,VEN020,ITM0014,20.00,16874.89,365022.25,13010.39,35693.62,4841.13,IDR,1.0,Net 90,2025-07-18,2025-07-07,DDP,CTR011,closed,false,
PO00007,PO202400007,2024-03-23,PR00008,VEN021,ITM0019,100.00,9482.71,1053733.74,23691.79,101703.68,27451.12,IDR,1.0,Net 90,2024-03-31,2024-03-23,DDP,CTR025,open,false,
PO00008,PO202400008,2024-06-23,PR00009,VEN016,ITM0002,2.00,33171.32,71526.61,2668.48,7004.16,848.28,IDR,1.0,Net 15,2024-07-25,2024-07-01,CIF,CTR021,cancelled,false,
PO00009,PO202400009,2024-02-16,PR00010,VEN003,ITM0022,200.00,57.16,12240.42,403.95,1213.01,0.00,IDR,1.0,COD,2024-03-12,2024-03-12,CIF,CTR013,closed,false,
PO00010,PO202500010,2025-09-18,PR00011,VEN012,ITM0020,1.00,24471.08,27623.28,195.47,2670.32,677.36,IDR,1.0,Net 30,2025-10-18,2025-10-01,DDP,CTR025,closed,false,
PO00011,PO202400011,2024-09-20,PR00012,VEN028,ITM0027,5000.00,197.47,1064798.57,28073.66,105520.58,0.00,IDR,1.0,Net 60,2024-10-05,2024-10-04,EXW,CTR016,closed,false,
