pr_id,pr_number,pr_date,requester_id,cost_center_id,department_id,item_id,description,quantity,estimated_unit_price,estimated_total,priority,currency,required_date,status,budget_id,attachment_url
PR00001,PR202500001,2025-10-23,EMP036,CC007,DEP01,ITM0025,Request ITM0025,500,33.29,16644.02,IDR,2025-11-17,urgent,rejected,BUD00316,https://docs.internal/pr/PR202500001.pdf
PR00002,PR202400002,2024-10-06,EMP009,CC002,DEP02,ITM0009,Request ITM0009,5,33528.53,167642.66,IDR,2024-11-21,urgent,approved,BUD00934,https://docs.internal/pr/PR202400002.pdf
PR00003,PR202500003,2025-06-18,EMP035,CC010,DEP04,ITM0018,Request ITM0018,500,118.09,59047.35,IDR,2025-06-29,high,approved,BUD01096,https://docs.internal/pr/PR202500003.pdf
PR00004,PR202400004,2024-10-30,EMP012,CC005,DEP05,ITM0017,Request ITM0017,500,97.57,48786.44,IDR,2024-11-25,urgent,approved,BUD00371,https://docs.internal/pr/PR202400004.pdf
PR00005,PR202400005,2024-10-02,EMP023,CC007,DEP01,ITM0029,Request ITM0029,50,83.08,4153.99,IDR,2024-11-16,high,approved,BUD00687,https://docs.internal/pr/PR202400005.pdf
PR00006,PR202400006,2024-02-28,EMP006,CC010,DEP04,ITM0006,Request ITM0006,50,7004.26,350213.00,IDR,2024-03-31,normal,approved,BUD00228,https://docs.internal/pr/PR202400006.pdf
PR00007,PR202500007,2025-07-03,EMP005,CC002,DEP02,ITM0014,Request ITM0014,20,16874.89,337497.88,IDR,2025-07-20,urgent,approved,BUD00039,https://docs.internal/pr/PR202500007.pdf
PR00008,PR202400008,2024-03-11,EMP025,CC002,DEP02,ITM0019,Request ITM0019,100,9482.71,948270.72,IDR,2024-04-08,urgent,approved,BUD00174,https://docs.internal/pr/PR202400008.pdf
PR00009,PR202400009,2024-06-20,EMP012,CC011,DEP05,ITM0002,Request ITM0002,2,33171.32,66342.65,IDR,2024-07-07,low,approved,BUD00935,https://docs.internal/pr/PR202400009.pdf
PR00010,PR202400010,2024-01-30,EMP016,CC010,DEP04,ITM0022,Request ITM0022,200,57.16,11431.36,IDR,2024-02-24,urgent,approved,BUD00324,https://docs.internal/pr/PR202400010.pdf
PR00011,PR202500011,2025-09-04,EMP035,CC009,DEP03,ITM0020,Request ITM0020,1,24471.08,24471.08,IDR,2025-10-17,normal,approved,BUD00567,https://docs.internal/pr/PR202500011.pdf
PR00012,PR202400012,2024-09-16,EMP028,CC003,DEP03,ITM0027,Request ITM0027,5000,197.47,987351.65,IDR,2024-10-14,urgent,approved,BUD00365,https://docs.internal/pr/PR202400012.pdf
PR00013,PR202500013,2025-02-22,EMP028,CC012,DEP06,ITM0032,Request ITM0032,100,13444.39,1344439.11,IDR,2025-03-09,high,rejected,BUD00890,https://docs.internal/pr/PR202500013.pdf
PR00014,PR202500014,2025-09-11,EMP031,CC012,DEP06,ITM0038,Request ITM0038,5,3346.32,16731.60,IDR,2025-09-21,urgent,approved,BUD01088,https://docs.internal/pr/PR202500014.pdf
PR00015,PR202500015,2025-04-19,EMP009,CC012,DEP06,ITM0011,Request ITM0011,5,14685.85,73429.25,IDR,2025-06-05,high,approved,BUD00951,https://docs.internal/pr/PR202500015.pdf
PR00016,PR202500016,2025-12-17,EMP021,CC006,DEP06,ITM0009,Request ITM0009,5,29647.80,148239.02,IDR,2026-01-17,urgent,pending,BUD00568,https://docs.internal/pr/PR202500016.pdf
PR00017,PR202400017,2024-03-09,EMP040,CC006,DEP06,ITM0023,Request ITM0023,2000,35.14,70272.20,IDR,2024-04-22,low,approved,BUD00386,https://docs.internal/pr/PR202400017.pdf
PR00018,PR202500018,2025-04-12,EMP024,CC005,DEP05,ITM0037,Request ITM0037,20,51346.02,1026920.44,IDR,2025-05-06,normal,approved,BUD00724,https://docs.internal/pr/PR202500018.pdf
