perf_id,vendor_id,period,on_time_delivery_pct,defect_rate,price_competitiveness,avg_response_hours,fill_rate,order_count,total_spend
VP000001,VEN001,2024-Q1,82.11,3.955,1.033,27.0,84.11,31,395493106.45
VP000002,VEN001,2024-Q2,87.72,3.651,0.989,19.1,89.72,42,986014922.14
VP000003,VEN001,2024-Q3,87.18,2.163,1.047,19.5,89.18,72,895805458.31
VP000004,VEN001,2024-Q4,99.98,1.748,1.031,17.3,100.0,78,92960441.62
VP000005,VEN001,2025-Q1,91.96,2.203,0.964,13.6,93.96,29,2059721149.90
VP000006,VEN001,2025-Q2,94.53,2.693,0.953,12.7,96.53,28,1498083500.71
VP000007,VEN001,2025-Q3,90.61,3.2,0.951,17.2,92.61,35,1671893865.65
VP000008,VEN001,2025-Q4,90.27,2.558,1.035,19.1,92.27,75,141481978.01
VP000009,VEN002,2024-Q1,88.05,5.183,1.021,27.6,90.05,44,1728866846.45
VP000010,VEN002,2024-Q2,83.75,2.22,1.012,18.2,85.75,45,1757491116.94
VP000011,VEN002,2024-Q3,82.13,2.113,1.032,17.0,84.13,39,700857256.34
VP000012,VEN002,2024-Q4,85.72,2.338,0.985,11.3,87.72,23,607274072.72
VP000013,VEN002,2025-Q1,87.42,3.161,0.962,19.8,89.42,70,1441191767.27
VP000014,VEN002,2025-Q2,88.89,2.209,0.954,6.3,90.89,22,577404972.00
VP000015,VEN002,2025-Q3,92.7,2.944,1.004,20.1,94.7,35,1748791041.37
VP000016,VEN002,2025-Q4,90.22,1.519,0.955,29.3,92.22,78,1608599299.11
VP000017,VEN003,2024-Q1,94.73,1.76,0.88,9.5,96.73,16,893725018.11
VP000018,VEN003,2024-Q2,93.98,1.331,0.876,5.6,95.98,50,2695936791.73
VP000019,VEN003,2024-Q3,94.27,0.76,0.856,12.2,96.27,55,1285207367.36
VP000020,VEN003,2024-Q4,100.0,1.759,0.853,9.8,100.0,69,1126946158.80
VP000021,VEN003,2025-Q1,94.21,0.0,0.824,13.0,96.21,59,108696767.72
VP000022,VEN003,2025-Q2,100.0,1.353,0.821,3.9,100.0,44,2704144429.92
VP000023,VEN003,2025-Q3,93.31,1.675,0.871,11.3,95.31,12,2802864873.32
VP000024,VEN003,2025-Q4,95.32,0.749,0.879,3.6,97.32,40,2748918530.79
VP000025,VEN004,2024-Q1,65.64,7.373,1.181,37.0,67.64,45,1322246419.62
VP000026,VEN004,2024-Q2,69.57,8.695,1.136,45.9,71.57,55,2331086191.35
VP000027,VEN004,2024-Q3,79.39,8.465,1.2,39.8,81.39,40,539180144.72
VP000028,VEN004,2024-Q4,78.9,8.896,1.093,40.0,80.9,6,2518827924.56
VP000029,VEN004,2025-Q1,78.52,9.86,1.144,43.8,80.52,39,1492856933.98
VP000030,VEN004,2025-Q2,71.11,10.102,1.12,44.8,73.11,27,611908002.41
