risk_id,vendor_id,score_date,financial_risk,geo_risk,single_source_flag,dependency_pct,composite_score
VR00001,VEN001,2025-12-31,92,51,false,45.0,65.6
VR00002,VEN002,2025-12-31,39,2,false,71.4,37.6
VR00003,VEN003,2025-12-31,12,69,false,83.5,50.5
VR00004,VEN004,2025-12-31,91,47,false,23.7,57.6
VR00005,VEN005,2025-12-31,14,97,false,11.6,38.2
VR00006,VEN006,2025-12-31,51,37,false,64.3,50.8
VR00007,VEN007,2025-12-31,28,41,false,77.3,46.7
VR00008,VEN008,2025-12-31,22,94,false,52.2,52.7
VR00009,VEN009,2025-12-31,58,43,false,21.4,42.5
VR00010,VEN010,2025-12-31,13,99,false,48.3,49.4
VR00011,VEN011,2025-12-31,69,30,false,25.2,44.2
VR00012,VEN012,2025-12-31,36,72,false,17.8,41.3
VR00013,VEN013,2025-12-31,44,19,true,91.8,50.8
VR00014,VEN014,2025-12-31,75,53,true,93.8,74.0
VR00015,VEN015,2025-12-31,59,96,false,10.4,55.5
VR00016,VEN016,2025-12-31,49,24,false,60.2,44.9
VR00017,VEN017,2025-12-31,26,91,false,9.0,40.4
VR00018,VEN018,2025-12-31,16,20,false,13.2,16.4
VR00019,VEN019,2025-12-31,97,70,true,82.8,84.6
VR00020,VEN020,2025-12-31,59,0,false,13.1,27.5
VR00021,VEN021,2025-12-31,19,10,false,75.7,33.3
VR00022,VEN022,2025-12-31,42,43,false,46.6,43.7
VR00023,VEN023,2025-12-31,86,11,true,93.7,65.8
VR00024,VEN024,2025-12-31,96,47,false,13.5,56.6
VR00025,VEN025,2025-12-31,13,69,false,51.4,41.3
VR00026,VEN026,2025-12-31,88,24,false,29.7,51.3
VR00027,VEN027,2025-12-31,83,9,false,44.9,49.4
VR00028,VEN028,2025-12-31,91,9,false,55.4,55.7
VR00029,VEN029,2025-12-31,38,34,false,89.5,52.2
VR00030,VEN030,2025-12-31,90,43,false,58.5,66.5
